,Drugs − Imported,Drugs − Exported,Drugs − Trafficked,People Smuggling,Transnational − Sexual Servitude,Transnational Organised Crime,Weapons − Trafficked,Slavery/Human Trafficking,Corruption,Information And Communications Technology,Corporate Or Bankruptcy,Counterfeit Currency,Environmental Crime,Fraud,War Crimes,Electoral Crime,Intellectual Property,Identity Crime,Migration Crime,Illegal Fishing,Emerging Crime,Offences Commonwealth Property/Premises,Offences On Commonwealth Employee,Money Laundering,Terrorism Domestic,Terrorism International,Terrorism Financing,Corruption − Av,Drugs Trafficked − Av,Identity Crime − Av,Organised Crime − Av,Theft − Baggage,Theft − General,Threats,Threats − Hoax,Weapons/Prohibited Items In The Aviation Environ.,Emerging Crime − Av,Child Sex Offences − Not Child Sex Tourism,Child Sex Offences − Online Child Sex Exploitation,Transnational − Child Sex Tourism
National,8,0,1,30,0,0,6,1,12,14,0,2,2,42,0,0,1,1,1,0,28,0,1,7,11,11,1,0,0,0,0,0,0,0,0,0,0,7,81,314
Adelaide,9,0,0,1,0,0,0,1,2,0,2,0,0,20,1,0,1,2,1,0,2,0,1,70,0,0,2,0,0,0,0,0,2,0,0,0,1,0,20,1
Brisbane,48,0,1,0,2,1,1,1,2,5,1,2,0,48,0,0,1,4,4,0,4,0,4,41,2,0,1,0,0,1,0,1,1,0,1,0,1,0,41,1
Cairns,4,1,0,1,0,0,0,0,1,0,0,0,2,6,0,0,0,0,1,2,1,1,1,8,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Darwin,10,0,0,2,0,0,0,1,1,3,0,1,0,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Hobart,0,0,0,0,0,0,0,0,1,1,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
Melbourne,121,0,1,1,2,0,2,3,5,8,1,0,2,60,1,2,12,5,5,0,7,3,1,63,3,0,2,1,0,0,1,0,2,1,0,0,3,0,48,1
Perth,43,0,0,10,1,0,0,4,3,2,1,20,1,27,0,0,1,7,8,0,0,1,2,63,2,2,0,1,1,1,1,0,0,1,0,0,0,0,20,2
Sydney,191,0,2,1,0,0,0,6,5,5,1,1,0,63,2,0,7,13,10,0,6,0,4,83,6,1,2,0,0,0,0,0,1,2,0,1,0,4,54,1
