State,Capital,Population
New South Wales,Sydney,7544485
Victoria,Melbourne,5866292
Queensland,Brisbane,4740927
South Australia,Adelaide,1688667
Western Australia,Perth,2589078
Tasmania,Hobart,514978
Northern Territory,Darwin,246322
Australian Capital Territory,Canberra,387069
Australia,National,23581029
