,time,latitude,longitude,elevation
89,2020-10-09 12:27:45,52.3782048,9.736323338,68.39
90,2020-10-09 12:27:46,52.378209326,9.736318141,68.39
91,2020-10-09 12:27:47,52.378214859,9.736316297,68.39
92,2020-10-09 12:27:51,52.378242016,9.736315878,68.39
93,2020-10-09 12:27:54,52.37826121,9.736318728,68.39
94,2020-10-09 12:27:59,52.378291888,9.736307831,68.39
95,2020-10-09 12:28:04,52.378335474,9.736299785,68.39
96,2020-10-09 12:28:07,52.378371265,9.73628738,68.39
97,2020-10-09 12:28:09,52.378390711,9.73628629,68.39
98,2020-10-09 12:28:12,52.378419712,9.736278914,68.39
99,2020-10-09 12:28:16,52.378557008,9.736281848,68.39
100,2020-10-09 12:28:19,52.378610233,9.736276567,68.39
101,2020-10-09 12:28:23,52.378673851,9.736266006,68.39
102,2020-10-09 12:28:31,52.378766304,9.736244464,68.39
103,2020-10-09 12:28:33,52.378783654,9.736242201,68.39
104,2020-10-09 12:28:36,52.378804609,9.736244883,67.91
105,2020-10-09 12:28:38,52.378819613,9.736241531,68.39
106,2020-10-09 12:28:40,52.378833192,9.736237424,68.39
107,2020-10-09 12:28:42,52.378849117,9.736228371,67.91
108,2020-10-09 12:28:43,52.378862277,9.736213032,67.91
109,2020-10-09 12:28:44,52.37888407,9.736108258,67.91
110,2020-10-09 12:28:45,52.378896391,9.736038353,67.91
111,2020-10-09 12:28:46,52.378849368,9.735920252,67.91
112,2020-10-09 12:28:47,52.378833527,9.735862333,67.91
113,2020-10-09 12:28:50,52.378790947,9.735767953,67.91
114,2020-10-09 12:28:52,52.37877653,9.735728474,67.91
115,2020-10-09 12:28:53,52.378768902,9.735712633,67.91
116,2020-10-09 12:28:56,52.37875415,9.735666448,67.91
117,2020-10-09 12:29:02,52.37873177,9.735567877,67.91
118,2020-10-09 12:29:05,52.378726155,9.735515406,67.91
119,2020-10-09 12:29:07,52.378719952,9.735490345,67.91
120,2020-10-09 12:29:11,52.378721377,9.735362856,67.91
121,2020-10-09 12:29:12,52.378719868,9.735342404,67.91
122,2020-10-09 12:29:14,52.378720036,9.735300662,67.91
123,2020-10-09 12:29:15,52.378718108,9.735288089,67.91
124,2020-10-09 12:29:18,52.378703272,9.735255987,67.91
125,2020-10-09 12:29:19,52.378700087,9.735244168,67.91
126,2020-10-09 12:29:23,52.378681311,9.735200079,67.91
127,2020-10-09 12:29:24,52.378675863,9.735193457,67.91
128,2020-10-09 12:29:25,52.378671672,9.735183315,67.91
129,2020-10-09 12:29:27,52.37867184,9.73515314,67.91
130,2020-10-09 12:29:28,52.378668152,9.735140819,67.91
131,2020-10-09 12:29:29,52.378666224,9.735126654,67.91
132,2020-10-09 12:29:32,52.378662871,9.73507192,67.91
133,2020-10-09 12:29:36,52.378662536,9.734996902,67.91
134,2020-10-09 12:29:39,52.378657507,9.734937809,67.91
135,2020-10-09 12:29:41,52.378659351,9.734902522,67.91
136,2020-10-09 12:29:44,52.378652561,9.734856756,67.91
137,2020-10-09 12:29:47,52.37864946,9.734809985,67.91
138,2020-10-09 12:29:49,52.378645437,9.734778553,67.91
