"NODE_ID","NODE_TYPE","LOCATION_TYPE","LOCATED_MIDPOINT","COMPLEX_INT_NO","AMG_X","AMG_Y","ROAD_NAME_1","ROAD_TYPE_1","ROAD_DESC_1","ROAD_ROUTE_1","ROAD_NAME_2","ROAD_TYPE_2","ROAD_DESC_2","ROAD_NAME_3","ROAD_TYPE_3","ROAD_DESC_3","DISTANCE_LOCATION","DIRECTION_LOCATION","NEAREST_KM_POST","OFF_ROAD_LOCATION","DIRECTORY","EDITION","PAGE","GRID_REFERENCE_X","GRID_REFERENCE_Y","LGA_NAME","REGION_NAME","UNKNOWN"
45582,"I","I","N",0,495442.06426628,5817668.12571315,"GRANTHAM","STREET","",5976,"COLLIER","CRESCENT","","","","",,"",,"","MEL","ED35","29","E","8","MORELAND","METROPOLITAN NORTH WEST REGION",0
45583,"I","I","N",0,495421.248577484,5817533.30713517,"GRANTHAM","STREET","",5976,"UNION","STREET","","","","",,"",,"","MEL","ED35","29","E","9","MORELAND","METROPOLITAN NORTH WEST REGION",0
45585,"I","I","N",0,495455.960225353,5817203.37752058,"BRUNSWICK","ROAD","",5863,"MILLWARD","STREET","","","","",,"",,"","MEL","ED35","29","E","10","MORELAND","METROPOLITAN NORTH WEST REGION",0
45587,"I","I","N",0,495521.811807574,5817193.41557446,"BRUNSWICK","ROAD","",5863,"MCVEAN","STREET","","","","",,"",,"","MEL","ED35","29","E","10","MORELAND","METROPOLITAN NORTH WEST REGION",0
45581,"I","I","N",0,495467.109920095,5817830.34087731,"GRANTHAM","STREET","",5976,"DAWSON","STREET","","","","",,"",,"","MEL","ED35","29","E","8","MORELAND","METROPOLITAN NORTH WEST REGION",0
45590,"I","I","N",0,496005.824737196,5820734.11598147,"MUNRO","STREET","",182471,"SHAFTSBURY","STREET","","","","",,"",,"","MEL","ED35","29","F","1","MORELAND","METROPOLITAN NORTH WEST REGION",0
45600,"I","I","N",0,495968.404853997,5818574.91506541,"AUSTRAL","AVENUE","",105344,"HOPE","STREET","","","","",,"",,"","MEL","ED35","29","F","6","MORELAND","METROPOLITAN NORTH WEST REGION",0
45602,"I","I","N",0,495978.554393382,5818058.2238122,"ALBERT","STREET","",101412,"FALLON","STREET","","","","",,"",,"","MEL","ED35","29","F","7","MORELAND","METROPOLITAN NORTH WEST REGION",0
45603,"I","I","N",0,495836.362800829,5818283.98450516,"ALEXANDER","STREET","",101692,"VICTORIA","STREET","","","","",,"",,"","MEL","ED35","29","F","7","MORELAND","METROPOLITAN NORTH WEST REGION",0
45604,"I","I","N",0,495906.913243322,5817761.85633094,"DAWSON","STREET","",130320,"FALLON","STREET","","","","",,"",,"","MEL","ED35","29","F","8","MORELAND","METROPOLITAN NORTH WEST REGION",0
45607,"I","I","N",0,495947.851626072,5817128.96864676,"BRUNSWICK","ROAD","",5863,"DOLLMAN","STREET","","","","",,"",,"","MEL","ED35","29","F","10","MORELAND","METROPOLITAN NORTH WEST REGION",0
45611,"I","I","N",0,496572.430559594,5820661.49253908,"LOCH","STREET","",168999,"MUNRO","STREET","","","","",,"",,"","MEL","ED35","29","G","1","MORELAND","METROPOLITAN NORTH WEST REGION",0
45616,"I","I","N",0,496552.31470457,5819489.76051723,"MORELAND","ROAD","",5978,"CAMERON","STREET","","","","",,"",,"","MEL","ED35","29","G","4","MORELAND","METROPOLITAN NORTH WEST REGION",0
45608,"I","I","N",0,496033.254857454,5817116.05038713,"BRUNSWICK","ROAD","",5863,"MCKAY","STREET","","","","",,"",,"","MEL","ED35","29","F","10","MORELAND","METROPOLITAN NORTH WEST REGION",0
45620,"I","I","N",0,496325.16005027,5818911.8237428,"ALBION","STREET","",101509,"FREDERICK","STREET","","","","",,"",,"","MEL","ED35","29","G","5","MORELAND","METROPOLITAN NORTH WEST REGION",0
45624,"I","I","N",0,497682.803137998,5826588.47330628,"CAMPBELLFIELD-GREENSBOROUGH","ROAD","",5910,"PHILLIP","STREET","","","","",,"",,"","MEL","ED35","7","K","10","DAREBIN","METROPOLITAN NORTH WEST REGION",0
45627,"I","I","N",0,496497.725898382,5817804.4151534,"SYDNEY","ROAD","",5733,"PHOENIX","STREET","","","","",,"",,"","MEL","ED35","29","G","8","MORELAND","METROPOLITAN NORTH WEST REGION",0
45628,"I","I","N",0,496480.166863772,5817674.90231103,"SYDNEY","ROAD","",5733,"DAWSON","STREET","","","","",,"",,"","MEL","ED35","29","G","8","MORELAND","METROPOLITAN NORTH WEST REGION",0
45629,"I","I","N",0,496408.814332826,5817685.72470872,"DAWSON","STREET","",130320,"SAXON","STREET","","","","",,"",,"","MEL","ED35","29","G","8","MORELAND","METROPOLITAN NORTH WEST REGION",0
45630,"I","I","N",0,496560.333935548,5817663.97692116,"DAVID","STREET","",130022,"GLENLYON","ROAD","","","","",,"",,"","MEL","ED35","29","G","8","MORELAND","METROPOLITAN NORTH WEST REGION",0
45632,"I","I","N",0,496468.909880342,5817588.65576786,"SYDNEY","ROAD","",5733,"MERRI","STREET","","","","",,"",,"","MEL","ED35","29","G","9","MORELAND","METROPOLITAN NORTH WEST REGION",0
45633,"I","I","N",0,496447.402946845,5817422.97406882,"SYDNEY","ROAD","",5733,"EDWARD","STREET","","","","",,"",,"","MEL","ED35","29","G","9","MORELAND","METROPOLITAN NORTH WEST REGION",0
45634,"I","I","N",0,496462.468896442,5817539.04215902,"SYDNEY","ROAD","",5733,"MICHAEL","STREET","","","","",,"",,"","MEL","ED35","29","G","9","MORELAND","METROPOLITAN NORTH WEST REGION",0
45638,"I","I","N",0,496400.045199133,5817060.5641693,"SYDNEY","ROAD","",5733,"BRUNSWICK","ROAD","","","","",,"",,"","MEL","ED35","29","G","10","MORELAND","METROPOLITAN NORTH WEST REGION",0
45639,"I","I","N",0,496491.068607146,5816938.47932226,"BOWEN","CRESCENT","",113451,"PARK","STREET","","","","",,"",,"","MEL","ED35","29","G","10","MELBOURNE","METROPOLITAN NORTH WEST REGION",0
45640,"I","I","N",0,496414.460118376,5817169.20381697,"SYDNEY","ROAD","",5733,"BARKLY","STREET","","","","",,"",,"","MEL","ED35","29","G","10","MORELAND","METROPOLITAN NORTH WEST REGION",0
45641,"I","I","N",8453,496340.229286847,5816545.04663699,"ROYAL","PARADE","",5979,"IEVERS","STREET","","","","",,"",,"","MEL","ED35","29","G","11","MELBOURNE","METROPOLITAN NORTH WEST REGION",0
45647,"I","I","N",0,496938.526197108,5820614.85045222,"HARDING","STREET","",150142,"RUSSELL","STREET","","","","",,"",,"","MEL","ED35","29","H","1","MORELAND","METROPOLITAN NORTH WEST REGION",0
45649,"I","I","N",0,496829.628059395,5820225.63616435,"SYDNEY","ROAD","",5733,"EDWARD","STREET","","","","",,"",,"","MEL","ED35","29","H","2","MORELAND","METROPOLITAN NORTH WEST REGION",0
45651,"I","I","N",0,496817.154459159,5820134.52117184,"SYDNEY","ROAD","",5733,"WOOLACOTT","STREET","","","","",,"",,"","MEL","ED35","29","H","2","MORELAND","METROPOLITAN NORTH WEST REGION",0
45652,"I","I","N",0,498036.687191744,5826543.8191974,"CAMPBELLFIELD-GREENSBOROUGH","ROAD","",5910,"INDUSTRIAL","AVENUE","","","","",,"",,"","MEL","ED35","8","A","11","DAREBIN","METROPOLITAN NORTH WEST REGION",0
45675,"I","I","N",0,468247.212180704,5804747.27594337,"HEATHS","ROAD","",5443,"GREAVES","STREET","","","","",,"",,"","MEL","ED35","205","E","4","WYNDHAM","METROPOLITAN NORTH WEST REGION",0
45697,"I","I","N",0,485060.46805516,5820067.83066163,"WESTERN RING","ROAD","(F-EN-  29001105)",2900,"WESTERN RING","ROAD","(F-EX-  29001207)","","","",,"",,"","MEL","ED35","26","H","2","BRIMBANK","METROPOLITAN NORTH WEST REGION",306
45703,"I","I","N",0,499984.746911572,5815515.78646682,"RAMSDEN","STREET","",196804,"YAMBLA","STREET","","","","",,"",,"","MEL","ED35","2D","B","3","YARRA","METROPOLITAN NORTH WEST REGION",0
45756,"I","I","N",6219,511624.862923847,5775229.75315763,"MORNINGTON PENINSULA","ROUTE","",2600,"MILLARD","STREET","","","","",,"",,"","MEL","ED35","100A","J","12","FRANKSTON","METROPOLITAN SOUTH EAST REGION",0
45780,"I","I","N",0,505159.722171912,5801579.69042051,"EAST BOUNDARY","ROAD","",5316,"ARDENA","COURT","","","","",,"",,"","MEL","ED35","68","J","12","GLEN EIRA","METROPOLITAN SOUTH EAST REGION",0
45817,"I","I","N",0,513125.593129806,5812576.28576171,"MAROONDAH","HIGHWAY","",2720,"STATION","STREET","","","","",,"",,"","MEL","ED35","47","K","9","WHITEHORSE","METROPOLITAN SOUTH EAST REGION",0
45825,"I","I","N",8752,497975.922327092,5807079.60776509,"ACLAND","STREET","",100494,"CARLISLE","STREET","","","","",,"",,"","MEL","ED35","2P","B","8","PORT PHILLIP","METROPOLITAN NORTH WEST REGION",0
45834,"I","I","N",0,506909.037530565,5805821.82488846,"WAVERLEY","ROAD","",5303,"CHADSTONE","ROAD","","","","",,"",,"","MEL","ED35","69","D","2","STONNINGTON","METROPOLITAN SOUTH EAST REGION",0
45835,"I","I","N",0,497009.397274295,5813726.8192336,"VICTORIA","STREET","",5082,"DRUMMOND","STREET","","","","",,"",,"","MEL","ED35","2B","G","12","MELBOURNE","METROPOLITAN NORTH WEST REGION",0
45857,"I","I","N",0,501695.886567605,5804063.11730834,"HAWTHORN","ROAD","",5299,"BROOKLYN","AVENUE","","","","",,"",,"","MEL","ED35","68","A","6","GLEN EIRA","METROPOLITAN SOUTH EAST REGION",0
45873,"I","I","N",0,498282.980478653,5816109.88783252,"ST GEORGES","ROAD","",5861,"REID","STREET","","","","",,"",,"","MEL","ED35","30","B","12","YARRA","METROPOLITAN NORTH WEST REGION",0
45915,"I","I","N",0,506172.39544284,5805645.13673056,"WAVERLEY","ROAD","",5303,"BRUCE","STREET","","","","",,"",,"","MEL","ED35","69","B","2","STONNINGTON","METROPOLITAN SOUTH EAST REGION",0
45925,"I","I","N",0,506810.329700456,5816628.17619227,"EASTERN","FREEWAY","(R-EN-  28301303)",2830,"EASTERN","FREEWAY","(R-EX-  28301403)","","","",,"",,"","MEL","ED35","32","D","11","BOROONDARA","METROPOLITAN SOUTH EAST REGION",95
45952,"I","I","N",8546,498920.830654829,5814579.85260092,"JOHNSTON","STREET","",5853,"GOLD","STREET","","","","",,"",,"","MEL","ED35","2C","F","7","YARRA","METROPOLITAN NORTH WEST REGION",0
45964,"I","I","N",0,497871.983633662,5755854.09291447,"BITTERN-DROMANA","ROAD","",5754,"DROMANA","PARADE","","","","",,"",,"","MEL","ED35","160","A","4","MORNINGTON PENINSULA","METROPOLITAN SOUTH EAST REGION",0
45966,"I","I","N",0,501988.317449482,5806811.08588547,"ALBERT","STREET","",101427,"INKERMAN","ROAD","","","","",,"",,"","MEL","ED35","59","A","11","GLEN EIRA","METROPOLITAN SOUTH EAST REGION",0
45996,"I","I","N",0,496263.679473891,5815744.16932396,"ROYAL","PARADE","",5979,"CEMETERY","ROAD","","","","",,"",,"","MEL","ED35","2B","C","2","MELBOURNE","METROPOLITAN NORTH WEST REGION",0
46014,"I","I","N",0,505050.331088407,5819117.57674705,"BANKSIA","STREET","",106930,"STUDLEY","ROAD","","","","",,"",,"","MEL","ED35","31","J","5","BANYULE","METROPOLITAN NORTH WEST REGION",0
46058,"I","I","N",0,498973.297265111,5817159.16384363,"STATE (ST GEORGES)","HIGHWAY","",2130,"ELIZABETH","STREET","","","","",,"",,"","MEL","ED35","30","D","10","DAREBIN","METROPOLITAN NORTH WEST REGION",0
46104,"I","I","N",0,499002.374231858,5812532.30271136,"HODDLE","HIGHWAY","",2080,"NAPIER","LANE","","","","",,"",,"","MEL","ED35","2G","G","6","MELBOURNE","METROPOLITAN NORTH WEST REGION",0
46122,"I","I","N",0,500471.653236744,5808748.70658487,"CHATSWORTH","ROAD","",121888,"PRIDHAM","STREET","","","","",,"",,"","MEL","ED35","2M","D","12","STONNINGTON","METROPOLITAN SOUTH EAST REGION",0
