track_seg_point_id,ele,time,speed,longitude,latitude
8059,389.083979078,2019-07-12T16:48:35,1.3397480249404907,-5.039865423,7.692470218
8060,389.013382457,2019-07-12T16:48:36,1.339858055114746,-5.039858537,7.692483423
8061,388.913159064,2019-07-12T16:48:37,1.3393139839172363,-5.039849424,7.692499547
8062,388.796455295,2019-07-12T16:48:38,1.3371829986572266,-5.039841008,7.692515065
8063,388.654661165,2019-07-12T16:48:39,1.3279039859771729,-5.039837441,7.692522538
8064,388.503725389,2019-07-12T16:48:40,1.3132059574127197,-5.03983224,7.692530902
8065,388.371050512,2019-07-12T16:48:41,1.2962249517440796,-5.039823838,7.692543882
8066,388.225190976,2019-07-12T16:48:42,1.285364031791687,-5.039815018,7.692558194
8067,388.08018658,2019-07-12T16:48:43,1.2753609418869019,-5.039810883,7.692565535
8068,387.936852531,2019-07-12T16:48:44,1.2684990167617798,-5.039808022,7.692571106
8069,387.819672143,2019-07-12T16:48:45,1.268847942352295,-5.039804375,7.69257671
8070,387.715715609,2019-07-12T16:48:46,1.2674349546432495,-5.039798093,7.692584364
8071,387.617311284,2019-07-12T16:48:47,1.2579900026321411,-5.039788472,7.692596254
8072,387.506961558,2019-07-12T16:48:48,1.2471050024032593,-5.039778867,7.692608064
8073,387.390670832,2019-07-12T16:48:49,1.2354810237884521,-5.039773416,7.692613034
8074,387.267178273,2019-07-12T16:48:50,1.2213250398635864,-5.039766072,7.692620378
8075,387.13730225,2019-07-12T16:48:51,1.2113219499588013,-5.039757153,7.69263165
8076,387.001569951,2019-07-12T16:48:52,1.2070039510726929,-5.039746435,7.692647599
8077,386.878609696,2019-07-12T16:48:53,1.2078020572662354,-5.0397384,7.692659696
8078,386.771255594,2019-07-12T16:48:54,1.214324951171875,-5.03972949,7.692671308
8079,386.667269867,2019-07-12T16:48:55,1.2181710004806519,-5.039722043,7.692683786
8080,386.571818424,2019-07-12T16:48:56,1.2227059602737427,-5.039714861,7.692701195
8081,386.482031672,2019-07-12T16:48:57,1.2259479761123657,-5.039713052,7.692713443
8082,386.388382124,2019-07-12T16:48:58,1.2285900115966797,-5.039711356,7.692726206
8083,386.315176895,2019-07-12T16:48:59,1.239827036857605,-5.039705844,7.692747025
8084,386.234985113,2019-07-12T16:49:00,1.2553709745407104,-5.039706074,7.692763993
8085,386.155147948,2019-07-12T16:49:01,1.2621309757232666,-5.039706276,7.692777924
8086,386.08368954,2019-07-12T16:49:02,1.268170952796936,-5.039706784,7.692790329
8087,386.010833571,2019-07-12T16:49:03,1.246870994567871,-5.039706521,7.692802466
8088,385.942747114,2019-07-12T16:49:04,1.2318840026855469,-5.039705413,7.692813713
8089,385.873284596,2019-07-12T16:49:05,1.2231980562210083,-5.039703881,7.692824852
8090,385.792570395,2019-07-12T16:49:06,1.226256012916565,-5.039701095,7.692837385
8091,385.728447296,2019-07-12T16:49:07,1.2293800115585327,-5.039695456,7.692854555
8092,385.64880288,2019-07-12T16:49:08,1.2361340522766113,-5.039687027,7.692875987
8093,385.544783194,2019-07-12T16:49:09,1.2383149862289429,-5.039680723,7.692889227
8094,385.452542928,2019-07-12T16:49:10,1.2529070377349854,-5.039676051,7.692898058
8095,385.351914907,2019-07-12T16:49:11,1.270632028579712,-5.039670322,7.692908829
8096,385.257200053,2019-07-12T16:49:12,1.2832159996032715,-5.039662139,7.692919413
8097,385.131676709,2019-07-12T16:49:13,1.2937569618225098,-5.039652144,7.692928756
8098,385.004022835,2019-07-12T16:49:14,1.291471004486084,-5.039639835,7.692946616
8099,384.896140395,2019-07-12T16:49:15,1.2943209409713745,-5.039630635,7.692962213
8100,384.784805517,2019-07-12T16:49:16,1.2994279861450195,-5.039624509,7.692975142
8101,384.68167826,2019-07-12T16:49:17,1.2982490062713623,-5.039621473,7.692979353
8102,384.557858022,2019-07-12T16:49:18,1.2907739877700806,-5.039616813,7.692988619
8103,384.442935562,2019-07-12T16:49:19,1.2873200178146362,-5.039610693,7.693002522
8104,384.303779684,2019-07-12T16:49:20,1.2776579856872559,-5.039607523,7.693010687
8105,384.147797799,2019-07-12T16:49:21,1.2653100490570068,-5.039606502,7.693013789
8106,383.973013544,2019-07-12T16:49:22,1.2507679462432861,-5.039606098,7.693016719
