_ - uri,_ - rank,_ - name,_ - country,_ - profits,_ - position,_ - imageUri,_ - headquarters,_ - revenue,_ - marketValue,_ - assets,_ - ceo,_ - industry,_ - state,_ - thumbnail,_ - squareImage
https://www.forbes.com/companies/chugoku-electric-power,1327,Chugoku Electric Power,Japan,186.8,1327,chugoku-electric-power,Japan,11864,4447,29896,Tomohide Karita,Electric Utilities,,,
https://www.forbes.com/companies/chunghwa-telecom,782,Chunghwa Telecom,Taiwan,1267.5,782,chunghwa-telecom,Taiwan,7557,28414,16054,Yu Cheng,Telecommunications services,,,
https://www.forbes.com/companies/church-dwight,1511,Church & Dwight,United States,769.7,1512,church-dwight,New Jersey,3905,11614,5943,Matthew Farrell,Household/Personal Care,New Jersey,http://specials-images.forbesimg.com/imageserve/5798ce62a7ea4374a7c66037/280x425.jpg?fit=scale&background=000000,http://specials-images.forbesimg.com/imageserve/5798ce62a7ea4374a7c66037/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416
https://www.forbes.com/companies/cielo,968,Cielo,Brazil,1262,968,cielo,Brazil,3599,13696,24975,Eduardo Gouveia,Business & Personal Services,,http://specials-images.forbesimg.com/imageserve/5798d0c84bbe6f17e8fbb6ae/280x425.jpg?fit=scale&background=000000,http://specials-images.forbesimg.com/imageserve/5798d0c84bbe6f17e8fbb6ae/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416
https://www.forbes.com/companies/cigna,220,Cigna,United States,2554,220,cigna,Connecticut,42636,42263,63141,David Cordani,Managed Health Care,Connecticut,,
https://www.forbes.com/companies/cimarex-energy,1903,Cimarex Energy,United States,540.7,1903,cimarex-energy,Colorado,2038,9404,5260,Thomas Jorden,Oil & Gas Operations,Colorado,,
https://www.forbes.com/companies/cincinnati-financial,1045,Cincinnati Financial,United States,813,1045,cincinnati-financial,Ohio,5442,11799,21470,Steven Johnston,Diversified Insurance,Ohio,,
https://www.forbes.com/companies/cintas,1143,Cintas,United States,659.9,1143,cintas,Ohio,6337,19627,6929,Scott Farmer,Business & Personal Services,Ohio,,
https://www.forbes.com/companies/cisco-systems,444,Cisco Systems,United States,-1445,444,cisco-systems,California,48096,221269,131510,Chuck Robbins,Communications Equipment,California,http://specials-images.forbesimg.com/imageserve/580f9402a7ea435b91b0769c/280x425.jpg?fit=scale&background=000000,//specials-images.forbesimg.com/imageserve/580f9402a7ea435b91b0769c/416x416.jpg?background=000000&cropX1=0&cropX2=832&cropY1=0&cropY2=832
https://www.forbes.com/companies/citic-pacific,76,Citic Pacific,Hong Kong,5633.6,76,citic-pacific,Hong Kong,57814,44397,962064,Zhen Chang,Iron & Steel,,,
https://www.forbes.com/companies/citic-securities,492,Citic Securities,China,1786,492,citic-securities,China,6116,35781,104848,Ming Yang,Investment Services,,,
https://www.forbes.com/companies/citigroup,374,Citigroup,United States,-5838,374,citigroup,New York,90469,185788,1922104,Michael Corbat,Major Banks,New York,http://specials-images.forbesimg.com/imageserve/580f946131358e238316169c/280x425.jpg?fit=scale&background=000000,http://specials-images.forbesimg.com/imageserve/580f946131358e238316169c/416x416.jpg?background=000000&cropX1=0&cropX2=832&cropY1=0&cropY2=832
https://www.forbes.com/companies/citizens-financial-group,513,Citizens Financial Group,United States,1720,513,citizens-financial-group,Rhode Island,6777,20552,153453,Bruce van Saun,Regional Banks,Rhode Island,,
https://www.forbes.com/companies/clorox,1171,Clorox,United States,807,1171,clorox,California,6080,15611,5444,Benno Dorer,Household/Personal Care,California,http://specials-images.forbesimg.com/imageserve/59e4fbc0a7ea436b47b3e290/280x425.jpg?fit=scale&background=000000,//specials-images.forbesimg.com/imageserve/59e4fbc0a7ea436b47b3e290/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416
https://www.forbes.com/companies/cnpc-capital,693,Cnpc Capital,China,1106.8,693,cnpc-capital,China,4966,18789,130779,Shang Jiang,Heavy Equipment,,,
https://www.forbes.com/companies/coal-india,645,Coal India,India,1296.3,645,coal-india,India,12612,24957,17779,Suresh Kumar,Diversified Metals & Mining,,,
