Start,End,Average daily use
22/1/18 0:00,23/1/18 0:00,5.2
21/1/18 0:00,22/1/18 0:00,5.7
20/1/18 0:00,21/1/18 0:00,7.7
19/1/18 0:00,20/1/18 0:00,9
18/1/18 0:00,19/1/18 0:00,4.6
17/1/18 0:00,18/1/18 0:00,2.5
16/1/18 0:00,17/1/18 0:00,2.4
15/1/18 0:00,16/1/18 0:00,2.2
14/1/18 0:00,15/1/18 0:00,6
13/1/18 0:00,14/1/18 0:00,15.9
12/1/18 0:00,13/1/18 0:00,16.6
11/1/18 0:00,12/1/18 0:00,4.6
10/1/18 0:00,11/1/18 0:00,6.8
9/1/18 0:00,10/1/18 0:00,7.2
8/1/18 0:00,9/1/18 0:00,3.7
7/1/18 0:00,8/1/18 0:00,7.6
6/1/18 0:00,7/1/18 0:00,5.9
5/1/18 0:00,6/1/18 0:00,3.5
4/1/18 0:00,5/1/18 0:00,5
3/1/18 0:00,4/1/18 0:00,13.1
2/1/18 0:00,3/1/18 0:00,3.8
1/1/18 0:00,2/1/18 0:00,7.6
31/12/17 0:00,1/1/18 0:00,5.3
30/12/17 0:00,31/12/17 0:00,13.2
29/12/17 0:00,30/12/17 0:00,6.9
28/12/17 0:00,29/12/17 0:00,4.6
27/12/17 0:00,28/12/17 0:00,4.1
26/12/17 0:00,27/12/17 0:00,9.9
25/12/17 0:00,26/12/17 0:00,7.8
24/12/17 0:00,25/12/17 0:00,2.8
23/12/17 0:00,24/12/17 0:00,5.5
22/12/17 0:00,23/12/17 0:00,7.9
21/12/17 0:00,22/12/17 0:00,14.7
20/12/17 0:00,21/12/17 0:00,3.8
19/12/17 0:00,20/12/17 0:00,5.3
18/12/17 0:00,19/12/17 0:00,4.3
17/12/17 0:00,18/12/17 0:00,15.9
16/12/17 0:00,17/12/17 0:00,9.1
15/12/17 0:00,16/12/17 0:00,3.5
14/12/17 0:00,15/12/17 0:00,9.7
13/12/17 0:00,14/12/17 0:00,4.3
12/12/17 0:00,13/12/17 0:00,4.1
11/12/17 0:00,12/12/17 0:00,2.9
10/12/17 0:00,11/12/17 0:00,4.8
9/12/17 0:00,10/12/17 0:00,8.7
8/12/17 0:00,9/12/17 0:00,8.4
7/12/17 0:00,8/12/17 0:00,4.7
6/12/17 0:00,7/12/17 0:00,7
5/12/17 0:00,6/12/17 0:00,6.8
4/12/17 0:00,5/12/17 0:00,8
3/12/17 0:00,4/12/17 0:00,18.4
2/12/17 0:00,3/12/17 0:00,6.8
1/12/17 0:00,2/12/17 0:00,12.1
30/11/17 0:00,1/12/17 0:00,2.9
29/11/17 0:00,30/11/17 0:00,7.6
28/11/17 0:00,29/11/17 0:00,3.2
27/11/17 0:00,28/11/17 0:00,2.6
26/11/17 0:00,27/11/17 0:00,4.2
25/11/17 0:00,26/11/17 0:00,3.9
24/11/17 0:00,25/11/17 0:00,6
23/11/17 0:00,24/11/17 0:00,3.8
22/11/17 0:00,23/11/17 0:00,2.2
21/11/17 0:00,22/11/17 0:00,3.1
20/11/17 0:00,21/11/17 0:00,3.1
19/11/17 0:00,20/11/17 0:00,14
18/11/17 0:00,19/11/17 0:00,4.3
17/11/17 0:00,18/11/17 0:00,13.1
16/11/17 0:00,17/11/17 0:00,4.2
15/11/17 0:00,16/11/17 0:00,2.9
14/11/17 0:00,15/11/17 0:00,3.3
13/11/17 0:00,14/11/17 0:00,11.7
12/11/17 0:00,13/11/17 0:00,5.5
11/11/17 0:00,12/11/17 0:00,2.6
10/11/17 0:00,11/11/17 0:00,6.5
9/11/17 0:00,10/11/17 0:00,6.4
8/11/17 0:00,9/11/17 0:00,15
7/11/17 0:00,8/11/17 0:00,11.3
6/11/17 0:00,7/11/17 0:00,12.2
5/11/17 0:00,6/11/17 0:00,16.2
4/11/17 0:00,5/11/17 0:00,7.5
3/11/17 0:00,4/11/17 0:00,10.9
2/11/17 0:00,3/11/17 0:00,5.8
1/11/17 0:00,2/11/17 0:00,10.3
31/10/17 0:00,1/11/17 0:00,9.7
30/10/17 0:00,31/10/17 0:00,5.6
29/10/17 0:00,30/10/17 0:00,4.2
28/10/17 0:00,29/10/17 0:00,1.9
27/10/17 0:00,28/10/17 0:00,2.9
26/10/17 0:00,27/10/17 0:00,9
25/10/17 0:00,26/10/17 0:00,9.5
24/10/17 0:00,25/10/17 0:00,6.3
23/10/17 0:00,24/10/17 0:00,5.9
22/10/17 0:00,23/10/17 0:00,6.6
