timestamp,open,high,low,close,volume,open with missing,high with missing,low with missing,close with missing,volume with missing
2019-09-03 13:35:00+00:00,223.4959,226.1689,223.3762,225.9359,337281,223.4959,226.1689,223.3762,225.9359,337281.0
2019-09-03 13:40:00+00:00,225.55,226.9,225.55,226.756,224589,,,,,
2019-09-03 13:45:00+00:00,226.7794,227.8392,226.2579,227.6645,152137,,,,,
2019-09-03 13:50:00+00:00,227.6691,227.777,226.82,227.1191,139165,227.6691,227.777,226.82,227.1191,139165.0
2019-09-03 13:55:00+00:00,227.1885,229.1645,227.1727,228.6785,171801,227.1885,229.1645,227.1727,228.6785,171801.0
2019-09-03 14:00:00+00:00,228.68,228.86,227.93,228.04,117552,228.68,228.86,227.93,228.04,117552.0
2019-09-03 14:05:00+00:00,228.03,228.03,226.44,226.6,136121,,,,,
2019-09-03 14:10:00+00:00,226.6423,227.1999,226.2199,226.9404,115973,,,,,
2019-09-03 14:15:00+00:00,226.84,226.9,226.04,226.06,58861,,,,,
2019-09-03 14:20:00+00:00,226.0394,226.349,225.9,226.2895,86518,226.0394,226.349,225.9,226.2895,86518.0
2019-09-03 14:25:00+00:00,226.23,226.8,226.07,226.07,107005,,,,,
2019-09-03 14:30:00+00:00,226.1691,227.0573,226.0163,226.8457,104550,,,,,
2019-09-03 14:35:00+00:00,226.8485,227.1526,226.422,226.8684,109624,226.8485,227.1526,226.422,226.8684,109624.0
2019-09-03 14:40:00+00:00,226.6672,227.8733,226.522,227.6122,86536,,,,,
2019-09-03 14:45:00+00:00,227.605,228.2,227.46,227.49,96605,227.605,228.2,227.46,227.49,96605.0
2019-09-03 14:50:00+00:00,227.43,227.95,227.3,227.56,82139,227.43,227.95,227.3,227.56,82139.0
2019-09-03 14:55:00+00:00,227.6,227.97,227.42,227.75,34440,227.6,227.97,227.42,227.75,34440.0
2019-09-03 15:00:00+00:00,227.67,228.14,227.67,228.14,57342,,,,,
2019-09-03 15:05:00+00:00,228.0498,228.2,227.72,227.8275,124773,228.0498,228.2,227.72,227.8275,124773.0
2019-09-03 15:10:00+00:00,227.47,227.57,226.975,226.975,62104,,,,,
2019-09-03 15:15:00+00:00,226.96,227.029,226.15,226.15,55873,226.96,227.029,226.15,226.15,55873.0
2019-09-03 15:20:00+00:00,226.2185,226.63,226.06,226.62,55836,,,,,
2019-09-03 15:25:00+00:00,226.58,226.79,226.43,226.56,54082,,,,,
2019-09-03 15:30:00+00:00,226.51,227.18,226.35,226.54,99594,,,,,
2019-09-03 15:35:00+00:00,226.5882,227.075,226.508,226.5561,77530,,,,,
2019-09-03 15:40:00+00:00,226.54,226.6,226.13,226.13,98773,,,,,
2019-09-03 15:45:00+00:00,226.15,226.49,226.11,226.24,37947,,,,,
2019-09-03 15:50:00+00:00,226.256,226.512,225.99,226.1284,84575,226.256,226.512,225.99,226.1284,84575.0
2019-09-03 15:55:00+00:00,226.1373,226.35,225.6293,225.7173,89956,,,,,
2019-09-03 16:00:00+00:00,225.74,225.92,225.26,225.52,61711,225.74,225.92,225.26,225.52,61711.0
2019-09-03 16:05:00+00:00,225.55,225.78,225.55,225.737,55498,225.55,225.78,225.55,225.737,55498.0
2019-09-03 16:10:00+00:00,225.6636,225.675,224.72,224.72,70751,225.6636,225.675,224.72,224.72,70751.0
2019-09-03 16:15:00+00:00,224.7,225.08,224.51,224.9,66049,224.7,225.08,224.51,224.9,66049.0
2019-09-03 16:20:00+00:00,224.8725,224.92,224.53,224.63,48762,224.8725,224.92,224.53,224.63,48762.0
2019-09-03 16:25:00+00:00,224.72,224.92,224.68,224.7189,78805,224.72,224.92,224.68,224.7189,78805.0
2019-09-03 16:30:00+00:00,224.71,224.98,224.67,224.67,23347,,,,,
2019-09-03 16:35:00+00:00,224.67,224.67,224.29,224.305,56290,,,,,
2019-09-03 16:40:00+00:00,224.31,224.48,224.225,224.36,32501,224.31,224.48,224.225,224.36,32501.0
2019-09-03 16:45:00+00:00,224.3772,224.6984,224.278,224.3972,36916,224.3772,224.6984,224.278,224.3972,36916.0
2019-09-03 16:50:00+00:00,224.34,225.24,224.3,224.6184,74206,,,,,
2019-09-03 16:55:00+00:00,224.5794,225.0613,224.4157,224.8544,66885,,,,,
2019-09-03 17:00:00+00:00,224.79,224.912,224.44,224.46,43219,224.79,224.912,224.44,224.46,43219.0
2019-09-03 17:05:00+00:00,224.52,224.92,224.52,224.72,32544,,,,,
2019-09-03 17:10:00+00:00,224.64,224.75,224.09,224.2,28987,,,,,
2019-09-03 17:15:00+00:00,224.161,224.305,224.06,224.2081,37708,224.161,224.305,224.06,224.2081,37708.0
2019-09-03 17:20:00+00:00,224.15,224.542,224.144,224.3,17545,224.15,224.542,224.144,224.3,17545.0
2019-09-03 17:25:00+00:00,224.35,224.38,223.81,223.9595,35282,224.35,224.38,223.81,223.9595,35282.0
2019-09-03 17:30:00+00:00,223.97,223.982,223.84,223.96,51646,223.97,223.982,223.84,223.96,51646.0
2019-09-03 17:35:00+00:00,223.96,224.0161,223.55,223.67,61016,,,,,
2019-09-03 17:40:00+00:00,223.63,224.07,223.6,224.0417,49148,223.63,224.07,223.6,224.0417,49148.0
2019-09-03 17:45:00+00:00,224.04,224.202,223.84,223.8743,54586,,,,,
2019-09-03 17:50:00+00:00,223.865,223.9,223.5,223.69,21681,,,,,
2019-09-03 17:55:00+00:00,223.6572,223.963,223.56,223.655,30666,,,,,
2019-09-03 18:00:00+00:00,223.73,224.2401,223.73,224.15,32847,,,,,
2019-09-03 18:05:00+00:00,224.115,224.6,224.07,224.516,27352,224.115,224.6,224.07,224.516,27352.0
2019-09-03 18:10:00+00:00,224.4729,224.76,224.37,224.64,26904,224.4729,224.76,224.37,224.64,26904.0
2019-09-03 18:15:00+00:00,224.71,225.04,224.69,224.99,40884,,,,,
2019-09-03 18:20:00+00:00,224.97,225.05,224.71,224.73,30801,224.97,225.05,224.71,224.73,30801.0
2019-09-03 18:25:00+00:00,224.78,225.17,224.78,224.84,22833,224.78,225.17,224.78,224.84,22833.0
2019-09-03 18:30:00+00:00,224.89,225.06,224.833,225.05,23973,224.89,225.06,224.833,225.05,23973.0
2019-09-03 18:35:00+00:00,225.1379,225.299,225.0,225.0,44649,,,,,
2019-09-03 18:40:00+00:00,224.98,224.98,224.71,224.77,29783,224.98,224.98,224.71,224.77,29783.0
2019-09-03 18:45:00+00:00,224.8435,224.85,224.55,224.75,26175,224.8435,224.85,224.55,224.75,26175.0
