Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Australia,AUS,10276477,10483000.0,10742000.0,10950000.0,11167000.0,11388000,11651000.0,11799000.0,12009000.0,12263000.0,12507000,12937000.0,13177000.0,13380000.0,13723000.0,13893000,14033000.0,14192000.0,14358000.0,14514000.0,14692000.0,14927000.0,15178000.0,15369000.0,15544000.0,15758000.0,16018400.0,16263900.0,16532200.0,16814400.0,17065100.0,17284000.0,17495000.0,17667000.0,17855000.0,18072000.0,18311000.0,18517000.0,18711000.0,18926000.0,19153000.0,19413000.0,19651400.0,19895400.0,20127400.0,20394800.0,20697900.0,21072500.0,21498500.0,21951700.0,22328800.0
Austria,AUT,7048001,7087000.0,7130000.0,7172000.0,7215000.0,7255000,7308000.0,7338000.0,7362000.0,7384000.0,7426000,7460000.0,7510000.0,7553000.0,7564000.0,7556000,7552000.0,7559000.0,7553000.0,7550000.0,7553000.0,7565000.0,7574000.0,7552000.0,7552000.0,7555000.0,7565000.0,7573000.0,7595000.0,7631400.0,7710882.0,7798899.0,7782519.0,7928746.0,7928746.0,7953067.0,7964966.0,7971116.0,7982461.0,8002186.0,8011560.509,8043015.637999999,8083639.2979999995,8117800.0,8174700.0,8233300.0,8282424.0,8300788.0,8336926.0,8365275.0,8384745.0
Azerbaijan,AZE,3894492,4026355.0,4163394.0,4302763.0,4440730.0,4574497,4702916.0,4826258.0,4944928.0,5059918.0,5171999,5281236.0,5387374.0,5490572.0,5591016.0,5688998,5786880.0,5882440.0,5976760.0,6075000.0,6166000.0,6265000.0,6362000.0,6461000.0,6563000.0,6669000.0,6779000.0,6893000.0,7004000.0,7085000.0,7159000.0,7271000.0,7382000.0,7495000.0,7597000.0,7685000.0,7763000.0,7838000.0,7913000.0,7983000.0,8048534.786,8111143.779,8171892.896000001,8234039.364,8306399.7979999995,8391850.0,8484550.0,8581300.0,8763400.0,8947150.0,9047932.0
"Bahamas, The",BHS,109527,115112.0,121090.0,127340.0,133709.0,140063,146379.0,152623.0,158644.0,164263.0,169367,173875.0,177849.0,181490.0,185091.0,188870,192885.0,197090.0,201474.0,205990.0,210600.0,215330.0,220188.0,225083.0,229899.0,234553.0,238989.0,243236.0,247409.0,251671.0,256128.0,260845.0,265761.0,270701.0,275426.0,279774.0,283677.0,287217.0,290571.0,293988.0,297651.0,301606.0,305801.0,310201.0,314739.0,319358.0,324066.0,328861.0,333661.0,338358.0,342877.0
Bahrain,BHR,161825,167179.0,172294.0,177170.0,181833.0,186351,190734.0,195111.0,199818.0,205291.0,211878,219532.0,228255.0,238468.0,250683.0,265160,282245.0,301559.0,321751.0,340980.0,357957.0,372074.0,383785.0,394164.0,404829.0,416929.0,430845.0,446142.0,462184.0,477995.0,492891.0,506685.0,519696.0,532362.0,545329.0,559069.0,574914.0,592986.0,611237.0,626765.0,638193.0,642510.0,642070.0,647164.0,671760.0,724807.0,811410.0,925733.0,1052359.0,1169578.0,1261835.0
Bangladesh,BGD,50101943,51531438.0,52977254.0,54474293.0,56071080.0,57791778,59681186.0,61702785.0,63703327.0,65474474.0,66881158,67849312.0,68461849.0,68933357.0,69567500.0,70582168,72053923.0,73915723.0,76066342.0,78342736.0,80624423.0,82883616.0,85156396.0,87459802.0,89828434.0,92283598.0,94825499.0,97429290.0,100062322.0,102681627.0,105256026.0,107768749.0,110225555.0,112645460.0,115059015.0,117486952.0,119928682.0,122370403.0,124803351.0,127214841.0,129592275.0,131944584.0,134266428.0,136514768.0,138633401.0,140587922.0,142353501.0,143956805.0,145478300.0,147030145.0,148692131.0
Barbados,BRB,230831,231574.0,232490.0,233496.0,234455.0,235271,235912.0,236443.0,236974.0,237657.0,238593,239841.0,241345.0,242949.0,244433.0,245646,246523.0,247128.0,247589.0,248101.0,248796.0,249716.0,250809.0,252017.0,253244.0,254419.0,255532.0,256602.0,257621.0,258588.0,259501.0,260351.0,261136.0,261885.0,262637.0,263416.0,264237.0,265088.0,265941.0,266758.0,267511.0,268192.0,268813.0,269389.0,269947.0,270503.0,271062.0,271618.0,272180.0,272750.0,273331.0
Belarus,BLR,8198000,8271216.0,8351928.0,8437232.0,8524224.0,8610000,8696496.0,8785648.0,8874552.0,8960304.0,9040000,9115576.0,9188968.0,9257272.0,9317584.0,9367000,9411000.0,9463000.0,9525000.0,9584000.0,9643000.0,9710000.0,9776000.0,9843000.0,9910000.0,9975000.0,10043000.0,10111000.0,10140000.0,10170000.0,10189000.0,10194000.0,10216000.0,10239000.0,10227000.0,10194000.0,10160000.0,10117000.0,10069000.0,10035000.0,10005000.0,9970260.055,9925000.0,9873968.351,9824469.451,9775591.493999999,9732500.0,9702000.0,9602000.0,9507000.0,9490500.0
Belgium,BEL,9119000,9166000.0,9218000.0,9283000.0,9367000.0,9448000,9508000.0,9557000.0,9590000.0,9613000.0,9638000,9673000.0,9709000.0,9738000.0,9768000.0,9795000,9811000.0,9822000.0,9830000.0,9837000.0,9847000.0,9852000.0,9856000.0,9856000.0,9853000.0,9858000.0,9862000.0,9870000.0,9902000.0,9938000.0,9967400.0,10004500.0,10045000.0,10084500.0,10115600.0,10136800.0,10157000.0,10181000.0,10203000.0,10226000.0,10252000.0,10287000.0,10333000.0,10376133.0,10421137.0,10478617.0,10547958.0,10625700.0,10709973.0,10796493.0,10879159.0
Belize,BLZ,91046,94241.9344,97670.7216,101193.2688,104595.088,107736,110643.5168,113333.1968,115787.2848,117995.3328,119972,121721.0832,123214.1568,124670.4704,126420.56,128673,131411.8848,134676.7264,138337.872,142162.1456,146000.0,149892.8368,153848.424,156986.0,161982.4064,166200.0,170400.0,175200.0,179800.0,183200.0,189000.0,194000.0,199000.0,205000.0,211000.0,216500.0,222000.0,230000.0,238500.0,243100.0,249800.0,257300.0,265200.0,273700.0,282600.0,291800.0,301386.0,311500.0,322100.0,333200.0,344700.0
