NMI,METER SERIAL NUMBER,CON/GEN,DATE,ESTIMATED?,00:00 - 00:30,00:30 - 01:00,01:00 - 01:30,01:30 - 02:00,02:00 - 02:30,02:30 - 03:00,03:00 - 03:30,03:30 - 04:00,04:00 - 04:30,04:30 - 05:00,05:00 - 05:30,05:30 - 06:00,06:00 - 06:30,06:30 - 07:00,07:00 - 07:30,07:30 - 08:00,08:00 - 08:30,08:30 - 09:00,09:00 - 09:30,09:30 - 10:00,10:00 - 10:30,10:30 - 11:00,11:00 - 11:30,11:30 - 12:00,12:00 - 12:30,12:30 - 13:00,13:00 - 13:30,13:30 - 14:00,14:00 - 14:30,14:30 - 15:00,15:00 - 15:30,15:30 - 16:00,16:00 - 16:30,16:30 - 17:00,17:00 - 17:30,17:30 - 18:00,18:00 - 18:30,18:30 - 19:00,19:00 - 19:30,19:30 - 20:00,20:00 - 20:30,20:30 - 21:00,21:00 - 21:30,21:30 - 22:00,22:00 - 22:30,22:30 - 23:00,23:00 - 23:30,23:30 - 00:00
63053073718,4064485,Consumption,18/3/2017,No,0.065,0.052,0.079,0.037,0.079,0.046,0.066,0.064,0.048,0.076,0.034,0.074,0.055,0.055,0.071,0.037,0.075,0.039,0.07,0.058,0.053,0.076,0.039,0.081,0.045,0.074,0.061,0.061,0.076,0.048,0.089,0.036,0.089,0.049,0.079,0.057,0.07,0.063,0.064,0.071,0.055,0.08,0.046,0.089,0.037,0.091,0.044,0.079
63053073718,4064485,Consumption,19/3/2017,No,0.056,0.066,0.068,0.054,0.078,0.042,0.085,0.037,0.082,0.052,0.066,0.066,0.051,0.08,0.037,0.081,0.046,0.071,0.06,0.058,0.077,0.045,0.09,0.036,0.096,0.045,0.105,0.069,0.085,0.077,0.088,0.082,0.073,0.099,0.052,0.108,0.049,0.189,1.214,0.839,1.253,1.254,1.29,1.256,1.297,1.255,1.046,0.218
63053073718,4064485,Consumption,20/3/2017,No,0.077,0.076,0.076,0.074,0.073,0.068,0.074,0.065,0.076,0.062,0.076,0.059,0.081,0.054,0.086,0.251,0.123,0.176,0.16,0.193,0.07,0.09,0.055,0.081,0.062,0.078,0.064,0.082,0.056,0.094,0.045,0.101,0.042,0.097,0.059,0.079,0.081,0.054,0.098,0.034,0.101,0.051,1.237,1.209,1.182,1.218,1.173,1.222
63053073718,4064485,Consumption,21/3/2017,No,1.0,1.231,0.85,0.176,0.047,0.089,0.049,0.088,0.052,0.086,0.053,0.082,0.054,0.168,0.315,0.767,0.694,0.342,0.045,0.104,0.067,0.136,0.118,0.132,0.102,0.132,0.104,0.133,0.088,0.103,0.065,0.089,0.629,1.288,1.232,1.277,1.237,1.276,1.111,1.268,1.186,0.449,0.148,0.165,0.118,0.093,0.089,0.082
63053073718,4064485,Consumption,22/3/2017,No,0.067,0.087,0.057,0.094,0.049,0.1,0.044,0.101,0.042,0.102,0.045,0.105,0.049,0.089,0.122,0.086,0.107,0.079,0.087,0.481,0.619,0.066,0.073,0.053,0.086,0.042,0.091,0.041,0.086,0.051,0.076,0.06,0.065,0.069,0.055,0.079,0.047,0.096,0.061,0.127,0.186,0.223,0.185,0.165,0.105,0.078,0.099,0.049
63053073718,4064485,Consumption,23/3/2017,No,0.094,0.061,0.08,0.076,0.065,0.088,0.054,0.092,0.049,0.092,0.062,0.078,0.067,0.06,0.159,0.114,0.092,0.056,0.06,0.075,0.04,0.08,0.054,0.066,0.077,0.045,0.084,0.053,0.068,0.078,0.044,0.083,0.055,0.069,0.135,0.045,0.029,0.064,0.137,0.184,0.232,0.18,0.535,0.135,0.306,0.103,0.101,0.09
63053073718,4064485,Consumption,24/3/2017,No,0.087,0.087,0.085,0.068,0.083,0.146,0.087,0.083,0.066,0.064,0.07,0.064,0.061,0.061,0.127,0.104,0.071,0.081,0.118,0.129,0.136,0.139,0.127,0.221,0.154,0.221,0.404,0.159,0.059,0.058,0.06,0.059,0.06,0.06,0.059,0.061,0.061,0.062,0.062,0.061,0.061,0.062,0.061,0.068,0.1,0.091,0.082,0.074
63053073718,4064485,Consumption,25/3/2017,No,0.066,0.059,0.061,0.062,0.064,0.064,0.064,0.058,0.058,0.056,0.059,0.062,0.063,0.072,0.076,0.122,0.102,0.077,0.106,0.074,0.165,0.101,0.095,0.071,0.085,0.08,0.072,0.072,0.071,0.071,0.077,0.085,0.073,0.07,0.071,0.07,0.083,0.907,1.226,1.211,1.186,1.537,1.737,0.924,0.128,0.087,0.079,0.077
63053073718,4064485,Consumption,26/3/2017,No,0.077,0.075,0.075,0.072,0.073,0.074,0.072,0.073,0.071,0.072,0.071,0.074,0.075,0.086,0.083,0.072,0.083,0.151,0.104,0.066,0.061,0.061,0.058,0.062,0.062,0.064,0.06,0.064,0.065,0.065,0.065,0.062,0.164,0.092,0.086,0.083,0.071,0.874,1.216,1.042,1.202,1.214,0.71,0.101,0.06,0.061,0.067,0.067
63053073718,4064485,Consumption,27/3/2017,No,0.066,0.065,0.062,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.062,0.06,0.073,0.135,0.136,0.146,0.114,0.113,0.115,0.115,0.114,0.123,0.125,0.118,0.114,0.114,0.13,0.12,0.114,0.128,0.123,0.115,0.113,0.125,0.224,0.142,0.135,0.177,0.158,0.143,0.131,0.2,0.104,0.087,0.083,0.082,0.061,0.062
