year,temp,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1867,mnth_mean_max,25.8,25.0,23.8,20.0,16.8,16.5,13.9,15.8,17.0,20.2,22.0,23.2
1867,mnth_mean_min,13.2,13.0,11.0,10.7,7.9,6.8,6.4,6.3,7.4,8.2,9.2,10.2
1868,mnth_highest,37.9,34.1,40.3,27.1,26.0,19.4,17.7,19.9,25.5,35.4,38.5,43.3
1868,mnth_lowest,6.7,6.1,6.9,2.0,-0.1,-1.1,-2.5,-0.7,1.7,3.3,6.1,4.9
1868,mnth_mean_max,24.2,24.9,25.5,20.7,17.7,14.4,13.5,15.1,18.3,21.2,22.9,23.9
1868,mnth_mean_min,12.4,12.1,12.1,9.0,6.5,5.8,5.2,4.7,8.2,8.4,10.7,11.4
1869,mnth_highest,37.5,38.2,31.7,29.7,19.6,17.5,18.1,23.3,25.4,26.7,33.9,42.4
1869,mnth_lowest,7.7,7.7,5.5,4.3,3.7,-0.5,-2.8,0.4,1.1,2.7,4.9,7.1
1869,mnth_mean_max,26.2,25.3,22.9,20.0,15.6,14.3,14.0,16.3,17.9,18.7,22.5,26.0
1869,mnth_mean_min,11.9,12.3,11.8,9.9,7.2,6.7,4.2,6.3,6.5,8.1,10.3,11.9
1870,mnth_highest,41.7,42.7,32.2,30.5,20.3,17.1,18.1,18.7,21.7,27.0,29.4,36.3
1870,mnth_lowest,7.5,4.7,5.7,6.7,0.9,-1.3,-0.7,1.7,2.0,2.9,5.7,4.4
1870,mnth_mean_max,26.8,26.5,25.2,21.7,16.2,14.1,13.4,14.7,16.0,19.8,21.3,23.7
1870,mnth_mean_min,13.3,12.4,12.2,12.1,6.3,7.4,4.4,5.4,6.9,9.8,9.9,11.6
1871,mnth_highest,36.7,34.3,30.5,31.0,22.7,17.6,17.7,21.2,23.2,30.3,31.7,41.1
1871,mnth_lowest,8.9,9.6,6.7,4.0,4.4,0.5,1.3,3.3,3.1,0.1,5.3,6.7
1871,mnth_mean_max,26.8,25.3,22.4,21.5,18.0,15.1,14.4,16.4,17.5,18.1,22.3,25.9
1871,mnth_mean_min,13.9,14.0,10.2,9.0,9.0,6.4,5.7,6.9,7.5,7.6,11.0,12.9
1872,mnth_highest,39.6,35.5,35.5,25.6,19.6,20.0,17.7,18.4,24.4,29.2,33.3,32.3
1872,mnth_lowest,8.1,9.1,6.2,5.1,1.7,2.1,1.1,0.3,1.7,4.2,5.5,7.5
1872,mnth_mean_max,27.1,24.3,25.1,19.2,16.4,15.3,14.5,13.8,18.0,20.2,23.7,24.0
1872,mnth_mean_min,15.2,13.3,13.0,9.4,7.2,7.9,5.9,4.7,7.7,9.0,11.8,11.5
1873,mnth_highest,38.3,39.1,35.1,29.5,21.4,20.0,17.7,21.9,26.3,32.1,28.9,38.4
1873,mnth_lowest,8.3,9.5,6.3,5.7,3.1,2.7,-0.5,4.2,1.3,2.0,5.9,7.1
1873,mnth_mean_max,24.9,25.5,22.4,21.0,17.8,15.8,13.4,16.0,17.9,21.3,19.8,27.3
1873,mnth_mean_min,12.6,14.5,11.8,11.5,8.9,7.9,4.2,7.3,7.2,9.5,9.3,11.9
1874,mnth_highest,37.7,38.3,33.5,25.8,22.5,16.9,17.1,20.1,20.7,31.3,31.0,39.3
1874,mnth_lowest,9.9,6.9,8.3,5.1,2.3,-0.1,-1.1,-1.5,1.1,2.9,5.0,6.7
1874,mnth_mean_max,25.5,25.1,22.2,21.0,16.2,13.2,13.3,14.4,15.1,21.7,22.0,24.1
1874,mnth_mean_min,13.5,11.7,12.7,10.4,7.5,5.9,4.3,4.7,6.3,9.7,9.7,11.7
1875,mnth_highest,43.5,37.9,33.9,26.7,20.8,18.3,18.9,20.5,23.7,27.1,30.0,34.0
1875,mnth_lowest,8.3,7.2,5.0,4.6,2.3,1.7,-0.5,3.1,1.1,3.6,6.7,7.1
1875,mnth_mean_max,26.9,24.9,24.2,20.1,16.0,14.4,13.5,15.0,16.6,19.0,20.2,22.4
1875,mnth_mean_min,13.3,13.1,11.6,9.4,7.3,7.6,4.3,6.7,6.6,9.3,9.6,11.4
1876,mnth_highest,39.3,39.3,36.7,26.1,22.3,17.5,16.7,21.3,26.7,28.5,35.1,43.7
1876,mnth_lowest,6.6,6.1,7.3,5.0,1.5,0.6,-1.7,1.1,0.6,6.0,5.6,7.1
1876,mnth_mean_max,25.7,26.1,24.5,20.0,16.7,13.4,13.2,15.0,17.3,19.9,21.2,25.1
1876,mnth_mean_min,13.0,13.0,13.3,9.2,7.7,5.6,4.7,5.6,6.9,9.4,9.8,11.9
1877,mnth_highest,38.1,37.9,32.1,30.0,20.9,19.7,18.3,20.7,23.9,32.2,36.1,36.0
1877,mnth_lowest,5.7,7.5,8.4,3.9,4.3,1.8,-0.5,-0.5,3.1,5.5,3.6,6.1
1877,mnth_mean_max,23.8,25.9,23.8,20.9,16.2,14.1,14.5,16.2,16.6,19.2,20.7,24.1
1877,mnth_mean_min,11.7,13.8,13.3,9.7,8.5,6.3,5.4,5.6,7.6,8.4,8.1,10.7
1878,mnth_highest,37.3,32.9,36.0,28.4,20.7,14.1,20.2,22.1,25.5,32.0,39.4,39.7
1878,mnth_lowest,7.8,8.9,7.3,6.7,0.7,-0.5,0.5,2.7,3.3,3.8,7.2,8.1
1878,mnth_mean_max,25.7,24.2,23.7,20.8,16.8,11.6,13.2,15.3,18.1,19.9,22.0,24.3
1878,mnth_mean_min,13.4,14.6,13.5,11.4,7.3,5.1,6.5,7.2,8.1,7.7,10.2,11.8
