Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,014015,1950,12,30.9,Y
IDCJAC0002,014015,1951,01,31.1,Y
IDCJAC0002,014015,1951,02,30.7,Y
IDCJAC0002,014015,1951,03,32.4,Y
IDCJAC0002,014015,1951,04,33.3,Y
IDCJAC0002,014015,1951,05,32.2,Y
IDCJAC0002,014015,1951,06,30.6,Y
IDCJAC0002,014015,1951,07,30.0,Y
IDCJAC0002,014015,1951,08,30.8,Y
IDCJAC0002,014015,1951,09,32.8,Y
IDCJAC0002,014015,1951,10,33.0,Y
IDCJAC0002,014015,1951,11,33.2,Y
IDCJAC0002,014015,1951,12,33.0,Y
IDCJAC0002,014015,1952,01,32.3,Y
IDCJAC0002,014015,1952,02,32.5,Y
IDCJAC0002,014015,1952,03,32.7,Y
IDCJAC0002,014015,1952,04,32.9,Y
IDCJAC0002,014015,1952,05,32.5,Y
IDCJAC0002,014015,1952,06,30.6,Y
IDCJAC0002,014015,1952,07,30.4,Y
IDCJAC0002,014015,1952,08,30.3,Y
IDCJAC0002,014015,1952,09,32.4,Y
IDCJAC0002,014015,1952,10,33.0,Y
IDCJAC0002,014015,1952,11,33.3,Y
IDCJAC0002,014015,1952,12,33.0,Y
IDCJAC0002,014015,1953,01,31.2,Y
IDCJAC0002,014015,1953,02,30.9,Y
IDCJAC0002,014015,1953,03,32.4,Y
IDCJAC0002,014015,1953,04,31.6,Y
IDCJAC0002,014015,1953,05,30.8,Y
IDCJAC0002,014015,1953,06,30.3,Y
IDCJAC0002,014015,1953,07,30.1,Y
IDCJAC0002,014015,1953,08,29.3,Y
IDCJAC0002,014015,1953,09,32.3,Y
IDCJAC0002,014015,1953,10,33.3,Y
IDCJAC0002,014015,1953,11,33.3,Y
IDCJAC0002,014015,1953,12,32.9,Y
IDCJAC0002,014015,1954,01,31.7,Y
IDCJAC0002,014015,1954,02,32.0,Y
IDCJAC0002,014015,1954,03,32.5,Y
IDCJAC0002,014015,1954,04,31.6,Y
IDCJAC0002,014015,1954,05,32.0,Y
IDCJAC0002,014015,1954,06,30.0,Y
IDCJAC0002,014015,1954,07,30.1,Y
IDCJAC0002,014015,1954,08,31.6,Y
IDCJAC0002,014015,1954,09,32.9,Y
IDCJAC0002,014015,1954,10,31.7,Y
IDCJAC0002,014015,1954,11,32.5,Y
IDCJAC0002,014015,1954,12,30.9,Y
IDCJAC0002,014015,1955,01,31.4,Y
IDCJAC0002,014015,1955,02,30.7,Y
IDCJAC0002,014015,1955,03,31.3,Y
IDCJAC0002,014015,1955,04,32.2,Y
IDCJAC0002,014015,1955,05,31.9,Y
