Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
1979,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,GB,HK,,1,,live,,B,
1979,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,GB,NO,,6,6,live,,N,
1979,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,US,HK,XX,,1,live,,,I
1979,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,ZC,DE,,,1,live,,,
1979,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,BE,CA,,,5,live,,,
1979,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,GB,DD,US,2,,live,,B,
1979,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,GB,DD,,,2,live,,,C
1979,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,DE,BO,,1,,live,,S,
1979,I,Acipenser sturio,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,SE,SU,,,1,live,,,
1979,I,Caiman latirostris,Reptilia,Crocodylia,Alligatoridae,Caiman,AT,IT,AR,,5,leather products (small),,,
1979,I,Caiman latirostris,Reptilia,Crocodylia,Alligatoridae,Caiman,DE,IT,AR,,126720,leather items,,,
1979,I,Caiman latirostris,Reptilia,Crocodylia,Alligatoridae,Caiman,FR,IT,BR,,550,skins,,,
1979,I,Caiman latirostris,Reptilia,Crocodylia,Alligatoridae,Caiman,US,IT,AR,,2,leather products (small),,,
1979,I,Melanosuchus niger,Reptilia,Crocodylia,Alligatoridae,Melanosuchus,DE,IT,XX,,236,leather items,,,
1979,I,Anas laysanensis,Aves,Anseriformes,Anatidae,Anas,CH,NL,,14,,live,,T,C
1979,I,Asarcornis scutulata,Aves,Anseriformes,Anatidae,Asarcornis,US,GB,XX,2,,live,,Z,
1979,I,Asarcornis scutulata,Aves,Anseriformes,Anatidae,Asarcornis,US,GB,,,3,live,,,C
1979,I,Branta sandvicensis,Aves,Anseriformes,Anatidae,Branta,CH,GB,,2,,live,,T,C
1979,I,Branta sandvicensis,Aves,Anseriformes,Anatidae,Branta,CH,NL,,4,,live,,T,C
1979,I,Branta sandvicensis,Aves,Anseriformes,Anatidae,Branta,FR,GB,,,4,live,,,C
1979,I,Branta sandvicensis,Aves,Anseriformes,Anatidae,Branta,JP,GB,,,3,live,,,C
1979,I,Branta sandvicensis,Aves,Anseriformes,Anatidae,Branta,PL,DE,,,2,live,,,
1979,I,Balaena spp.,Mammalia,Cetacea,Balaenidae,Balaena,AU,CA,,,2,carvings,,,
1979,I,Balaena spp.,Mammalia,Cetacea,Balaenidae,Balaena,CH,CA,,,4,carvings,,,
1979,I,Balaena spp.,Mammalia,Cetacea,Balaenidae,Balaena,DE,CA,,,30,carvings,,,
1979,I,Balaena spp.,Mammalia,Cetacea,Balaenidae,Balaena,FR,CA,,,7,carvings,,,
1979,I,Balaena spp.,Mammalia,Cetacea,Balaenidae,Balaena,IT,CA,,,1,carvings,,,
1979,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,US,CA,,,3,carvings,,,
1979,I,Balaenidae spp.,Mammalia,Cetacea,Balaenidae,,CA,US,CA,2,,carvings,,,
1979,I,Balaenidae spp.,Mammalia,Cetacea,Balaenidae,,US,CA,,,2,carvings,,,
1979,I,Acrantophis dumerili,Reptilia,Serpentes,Boidae,Acrantophis,US,CH,XX,1,,live,,T,
1979,I,Acrantophis madagascariensis,Reptilia,Serpentes,Boidae,Acrantophis,DE,CH,XX,,1,live,,,
1979,I,Epicrates subflavus,Reptilia,Serpentes,Boidae,Epicrates,CH,GB,,5,,live,,P,C
1979,I,Epicrates subflavus,Reptilia,Serpentes,Boidae,Epicrates,CH,GB,,6,,live,,Z,C
1979,I,Epicrates subflavus,Reptilia,Serpentes,Boidae,Epicrates,CH,GB,,,11,live,,,
1979,I,Epicrates subflavus,Reptilia,Serpentes,Boidae,Epicrates,DE,GB,,,5,live,,,
1979,I,Epicrates subflavus,Reptilia,Serpentes,Boidae,Epicrates,US,CA,,4,4,live,,Z,
1979,I,Sanzinia madagascariensis,Reptilia,Serpentes,Boidae,Sanzinia,US,CH,XX,2,,live,,T,
1979,I,Sanzinia madagascariensis,Reptilia,Serpentes,Boidae,Sanzinia,US,CH,,1,,live,,T,
1979,I,Sanzinia madagascariensis,Reptilia,Serpentes,Boidae,Sanzinia,US,CH,,,4,live,,,C
1979,I,Bison bison athabascae,Mammalia,Artiodactyla,Bovidae,Bison,US,CA,,3,3,live,,Z,
1979,I,Bos gaurus,Mammalia,Artiodactyla,Bovidae,Bos,DK,DE,,1,,live,,Z,C
1979,I,Bos gaurus,Mammalia,Artiodactyla,Bovidae,Bos,DK,DE,,,1,live,,,
1979,I,Bos gaurus,Mammalia,Artiodactyla,Bovidae,Bos,US,CA,,,1,live,,Z,
1979,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,CA,DE,,2,,live,,Z,
1979,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,CA,DE,,,2,live,,,
1979,I,Capricornis sumatraensis,Mammalia,Artiodactyla,Bovidae,Capricornis,DK,NP,,,1,trophies,,,
1979,I,Capricornis sumatraensis,Mammalia,Artiodactyla,Bovidae,Capricornis,US,NP,,,1,skins,,,
1979,I,Damaliscus pygargus,Mammalia,Artiodactyla,Bovidae,Damaliscus,SU,NL,,3,,live,,Z,
1979,I,Damaliscus pygargus pygargus,Mammalia,Artiodactyla,Bovidae,Damaliscus,CA,ZA,,1,,trophies,,H,
1979,I,Damaliscus pygargus pygargus,Mammalia,Artiodactyla,Bovidae,Damaliscus,DE,ZA,,4,,live,,,
1979,I,Damaliscus pygargus pygargus,Mammalia,Artiodactyla,Bovidae,Damaliscus,SU,DD,,,4,live,,,C
1979,I,Damaliscus pygargus pygargus,Mammalia,Artiodactyla,Bovidae,Damaliscus,SU,DE,GB,,1,live,,,
1979,I,Damaliscus pygargus pygargus,Mammalia,Artiodactyla,Bovidae,Damaliscus,US,ZA,,,3,trophies,,,
1979,I,Kobus leche,Mammalia,Artiodactyla,Bovidae,Kobus,CA,BW,,1,,trophies,,H,
1979,I,Kobus leche,Mammalia,Artiodactyla,Bovidae,Kobus,DK,BW,,3,,trophies,,P,
1979,I,Naemorhedus goral,Mammalia,Artiodactyla,Bovidae,Naemorhedus,DK,NP,,,1,skins,,,
1979,I,Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,Oryx,CH,US,,4,,live,,Z,C
1979,I,Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,Oryx,CH,US,,,4,live,,Z,
1979,I,Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,Oryx,DD,US,,5,,live,,Z,C
1979,I,Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,Oryx,DE,US,,,4,live,,Z,
1979,I,Ovis aries,Mammalia,Artiodactyla,Bovidae,Ovis,US,IR,,1,,trophies,,P,
1979,I,Buceros bicornis homrai,Aves,Coraciiformes,Bucerotidae,Buceros,US,DE,,,4,live,,,
1979,I,Incilius periglenes,Amphibia,Anura,Bufonidae,Incilius,GB,XX,,10,,live,,,
1979,I,Camelus bactrianus,Mammalia,Artiodactyla,Camelidae,Camelus,CA,US,,1,,live,,,
1979,I,Camelus bactrianus,Mammalia,Artiodactyla,Camelidae,Camelus,HK,CN,,2,,live,,Z,
1979,I,Camelus bactrianus,Mammalia,Artiodactyla,Camelidae,Camelus,SE,DK,,,2,live,,Z,C
1979,I,Camelus bactrianus,Mammalia,Artiodactyla,Camelidae,Camelus,US,CA,US,,1,live,,,
1979,I,Camelus bactrianus,Mammalia,Artiodactyla,Camelidae,Camelus,US,CA,,,1,live,,Z,
1979,I,Camelus bactrianus,Mammalia,Artiodactyla,Camelidae,Camelus,US,CA,,,6,live,,,
1979,I,Camelus bactrianus,Mammalia,Artiodactyla,Camelidae,Camelus,US,NO,,,2,live,,Z,C
1979,I,Vicugna vicugna,Mammalia,Artiodactyla,Camelidae,Vicugna,CH,GB,XX,,4,garments,,,
1979,I,Vicugna vicugna,Mammalia,Artiodactyla,Camelidae,Vicugna,DE,PE,,,75,skins,,S,
1979,I,Vicugna vicugna,Mammalia,Artiodactyla,Camelidae,Vicugna,FR,CH,,,4,live,,,C
1979,I,Vicugna vicugna,Mammalia,Artiodactyla,Camelidae,Vicugna,US,PE,,,44,skeletons,,S,
1979,I,Vicugna vicugna,Mammalia,Artiodactyla,Camelidae,Vicugna,US,PE,,,2,skulls,,S,
1979,I,Speothos venaticus,Mammalia,Carnivora,Canidae,Speothos,US,DE,,,1,live,,,
1979,I,Callimico goeldii,Mammalia,Primates,Cebidae,Callimico,US,BO,,2,,live,,T,
1979,I,Callithrix flaviceps,Mammalia,Primates,Cebidae,Callithrix,US,PE,,,50,live,,S,
1979,I,Callithrix pygmaea,Mammalia,Primates,Cebidae,Callithrix,US,PE,,50,,live,,S,
1979,I,Leontopithecus rosalia,Mammalia,Primates,Cebidae,Leontopithecus,GB,US,,2,,live,,,
1979,I,Saguinus geoffroyi,Mammalia,Primates,Cebidae,Saguinus,CO,PA,,,1,live,,P,
1979,I,Saguinus geoffroyi,Mammalia,Primates,Cebidae,Saguinus,US,PA,,,2,live,,P,
1979,I,Saguinus geoffroyi,Mammalia,Primates,Cebidae,Saguinus,US,PA,,6,6,live,,Z,
1979,I,Saguinus geoffroyi,Mammalia,Primates,Cebidae,Saguinus,US,PA,,,1,skulls,,,
1979,I,Saguinus oedipus,Mammalia,Primates,Cebidae,Saguinus,NL,DE,,,1,live,,,
1979,I,Saimiri oerstedii,Mammalia,Primates,Cebidae,Saimiri,AU,BE,,6,,live,,,
1979,I,Saimiri oerstedii,Mammalia,Primates,Cebidae,Saimiri,DE,IT,BO,,30,unspecified,,,
1979,I,Saimiri oerstedii,Mammalia,Primates,Cebidae,Saimiri,US,PA,,,1,live,,P,
1979,I,Cercocebus galeritus,Mammalia,Primates,Cercopithecidae,Cercocebus,GA,FR,,,1,live,,N,C
1979,I,Macaca silenus,Mammalia,Primates,Cercopithecidae,Macaca,US,CA,,1,1,live,,Z,
1979,I,Mandrillus sphinx,Mammalia,Primates,Cercopithecidae,Mandrillus,JP,CM,,,6,live,,T,
1979,I,Nasalis larvatus,Mammalia,Primates,Cercopithecidae,Nasalis,US,ID,,2,,live,,Z,
1979,I,Piliocolobus rufomitratus,Mammalia,Primates,Cercopithecidae,Piliocolobus,CA,KE,,2,,skins,,P,
1979,I,Piliocolobus rufomitratus,Mammalia,Primates,Cercopithecidae,Piliocolobus,CA,ZA,,1,,skins,,,
1979,I,Cervus eldii,Mammalia,Artiodactyla,Cervidae,Cervus,NL,DD,,,2,live,,,C
1979,I,Rucervus duvaucelii,Mammalia,Artiodactyla,Cervidae,Rucervus,DD,DE,,1,,live,,Z,C
1979,I,Rucervus duvaucelii,Mammalia,Artiodactyla,Cervidae,Rucervus,DD,DE,,,1,live,,,
1979,I,Microcebus murinus,Mammalia,Primates,Cheirogaleidae,Microcebus,AU,NL,,2,,live,,,
1979,I,Microcebus murinus,Mammalia,Primates,Cheirogaleidae,Microcebus,US,GB,ZA,2,,bodies,,S,
1979,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,IT,CH,IT,,1,live,,,
1979,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,US,AU,,,1,bodies,,,
1979,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,US,AU,,1,,specimens,,S,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,AT,IT,HN,,12,leather products (small),,,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,AT,IT,MX,,17,leather products (small),,,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,AT,IT,XX,,3,leather products (small),,,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,AU,GB,,240,,soup,cans,,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,AU,ID,,2,,carapaces,,,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,AU,IT,HN,,10,shoes,,,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,AU,IT,XX,,5,leather products (small),,,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,AU,IT,,10,,shoes,,,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,AU,PG,,,3,carapaces,,P,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,AU,PH,,10,,bodies,,,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,BE,IT,HN,,34,leather products (small),,,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,CA,CH,DE,,117,soup,cartons,,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,CA,IT,XX,,11,leather products (small),,,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,CA,JP,,1,,bodies,,,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,CA,KY,,50,,bodies,,S,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,CH,DE,KY,,5906,meat,kg,,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,CH,DE,NI,6068,,calipee,kg,,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,CH,DE,,10,,soup,kg,,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,CH,GB,,707,,soup,kg,,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,DE,IT,EC,,529,leather products (small),,,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,DE,IT,EC,,1177,leather items,,,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,DE,IT,HN,,173,leather products (small),,,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,DE,IT,HN,,64,shoes,,,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,DE,IT,MX,,1628,leather products (small),,,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,DE,IT,MX,,8,shoes,,,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,DE,IT,MX,,492,skins,,,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,DE,IT,MX,,499,leather items,,,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,DE,IT,XX,,94,leather products (small),,,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,DE,IT,XX,,135,skins,,,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,DE,KY,,34351,,meat,kg,,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,DE,US,KY,,1101,carapaces,,,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,DE,US,KY,,4000,carvings,,,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,DE,US,KY,,9298.8,meat,kg,,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,DK,DE,KY,1329,43,soup,kg,,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,DK,DE,NI,2175,,soup,kg,,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,DK,GB,KY,435,,meat,kg,,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,DK,GB,KY,7127,,soup,kg,,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,DK,IT,HN,,8,leather products (small),,,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,DK,IT,XX,,6,leather products (small),,,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,DK,IT,XX,,12,leather items,,,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,FR,DE,KY,,18,meat,kg,,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,FR,IT,MX,,27,leather products (small),,,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,FR,US,KY,,1,carapaces,,,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,GB,DE,KY,,15102,meat,kg,,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,GB,DE,KY,,31,scales,kg,,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,GB,IT,HN,,61,leather products (small),,,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,GB,IT,MX,,184,leather products (small),,,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,GB,IT,MX,,124,shoes,,,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,GB,IT,XX,,92,leather products (small),,,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,GB,KY,,5443.2,,bone pieces,kg,T,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,GB,KY,,6804,,calipee,kg,T,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,GB,KY,,31,,carapaces,,P,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,GB,KY,,2,,carapaces,,T,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,GB,KY,,1,,carvings,,T,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,GB,KY,,4880.736,,meat,kg,T,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,GB,KY,,7711.2,,skin pieces,kg,T,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,GB,KY,,10,,skin pieces,sets,T,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,GB,US,KY,,907.2,carapaces,kg,,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,GB,US,KY,,2,carapaces,,,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,GB,US,KY,,3683.232,meat,kg,,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,HK,IT,HN,,565,leather products (small),,,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,HK,IT,MX,,1,leather products (small),,,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,HK,IT,MX,,42,shoes,,,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,HK,MX,KY,1750,,skins,,T,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,HK,MX,,1250,,skins,,T,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,HT,US,KY,,100,carvings,,,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,IT,DE,KY,,2,meat,kg,,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,IT,FR,MX,,3153,skins,,T,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,JP,DE,KY,,141,meat,kg,,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,JP,US,KY,,1,bodies,shipments,,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,JP,US,KY,,9.979,oil,kg,,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,JP,US,KY,,1700,skins,,,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,KW,IT,MX,,54,shoes,,,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,LU,IT,HN,,23,leather products (small),,,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,MX,US,KY,,6.804,meat,kg,,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,MX,US,KY,,4020,skins,,,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,NL,DE,KY,,14,meat,kg,,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,NL,IT,HN,,1,leather products (small),,,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,SE,IT,HN,,22,shoes,,,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,SG,DE,KY,,27,meat,kg,,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,US,IT,MX,,109,shoes,,,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,US,IT,XX,,1,leather products (small),,,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,US,IT,XX,3,,shoes,,T,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,US,IT,XX,,1,shoes,,,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,US,KY,,10,,bodies,,T,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,US,KY,,2,,carapaces,shipments,T,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,US,KY,,23,,carapaces,,T,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,US,KY,,12,,carvings,shipments,T,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,US,KY,,282,,carvings,,T,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,US,KY,,1,,leather,pieces,T,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,US,KY,,23,,live,,S,
1979,I,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,US,KY,,21,,leather products (small),,T,
