Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
1983,I,Aquila heliaca,Aves,Falconiformes,Accipitridae,Aquila,DE,AT,,2,,live,,T,C
1983,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,AT,DE,AT,1,,live,,,
1983,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,DE,AT,DE,,1,live,,,
1983,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,DE,DK,XX,,1,live,,T,
1983,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,DE,DK,,1,,bodies,,P,
1983,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,DE,SU,,1,,live,,T,
1983,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,GB,NO,,,10,live,,N,
1983,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,JP,CN,,3,,live,,T,C
1983,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,ZC,DE,,,2,live,,N,C
1983,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,AT,DE,,,2,live,,T,C
1983,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,DE,DD,,4,,live,,T,C
1983,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,DE,DD,,,4,live,,,C
1983,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,US,CA,,,26,live,,B,
1983,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,US,CA,,12,,live,,S,
1983,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,US,CA,,1,10,specimens,,S,
1983,I,Pithecophaga jefferyi,Aves,Falconiformes,Accipitridae,Pithecophaga,PH,TW,PH,1,,live,,B,
1983,I,Pithecophaga jefferyi,Aves,Falconiformes,Accipitridae,Pithecophaga,US,PH,,,1,eggs,,S,
1983,I,Caiman crocodilus apaporiensis,Reptilia,Crocodylia,Alligatoridae,Caiman,DE,NL,,6,,live,,T,C
1983,I,Caiman latirostris,Reptilia,Crocodylia,Alligatoridae,Caiman,IT,DE,XX,2,,live,,T,
1983,I,Caiman latirostris,Reptilia,Crocodylia,Alligatoridae,Caiman,IT,GB,XX,6,,live,,T,
