Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
1981,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,DE,DK,GL,,1,bodies,,T,
1981,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,DE,DK,GL,,1,live,,B,
1981,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,DE,DK,GL,1,,live,,Z,
1981,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,DE,DK,NO,,1,bodies,,T,
1981,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,GB,NO,,,8,live,,N,
1981,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,JP,CN,,60,,feathers,,T,
1981,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,BE,CA,,,1,live,,Z,
1981,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,US,PH,,1,,live,,P,
1981,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,DD,DE,XX,,1,live,,Z,
1981,I,Alligator sinensis,Reptilia,Crocodylia,Alligatoridae,Alligator,US,CN,,,2,live,,Z,
1981,I,Alligator sinensis,Reptilia,Crocodylia,Alligatoridae,Alligator,US,HU,,2,,live,,Z,
1981,I,Caiman crocodilus apaporiensis,Reptilia,Crocodylia,Alligatoridae,Caiman,NO,DK,XX,,1,bodies,,T,
1981,I,Caiman latirostris,Reptilia,Crocodylia,Alligatoridae,Caiman,IT,CO,,1200,,live,,,
1981,I,Caiman latirostris,Reptilia,Crocodylia,Alligatoridae,Caiman,IT,CO,,1000,,skins,,,
1981,I,Caiman latirostris,Reptilia,Crocodylia,Alligatoridae,Caiman,IT,PY,,372,,skins,kg,,
1981,I,Caiman latirostris,Reptilia,Crocodylia,Alligatoridae,Caiman,IT,PY,,5215,,skins,sides,,
1981,I,Caiman latirostris,Reptilia,Crocodylia,Alligatoridae,Caiman,IT,PY,,9836,,skins,,,
1981,I,Caiman latirostris,Reptilia,Crocodylia,Alligatoridae,Caiman,IT,PY,,549,,leather items,,,
1981,I,Caiman latirostris,Reptilia,Crocodylia,Alligatoridae,Caiman,US,ES,BR,2,,leather products (small),,T,
1981,I,Caiman latirostris,Reptilia,Crocodylia,Alligatoridae,Caiman,US,XX,,4,,leather items,,T,
