Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
1980,I,Aquila heliaca,Aves,Falconiformes,Accipitridae,Aquila,DE,DD,XX,1,,live,,Z,
1980,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,AT,CH,XX,,1,live,,,
1980,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,AT,DE,,,2,live,,,C
1980,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,DE,DK,XX,,3,bodies,,T,
1980,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,DE,DK,XX,,3,bodies,,,
1980,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,FR,DE,,1,,live,,N,
1980,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,FR,DE,,,1,live,,,C
1980,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,GB,NO,,1,,bodies,,,
1980,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,GB,NO,,,8,live,,N,
1980,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,DD,DE,US,,1,live,,Z,
1980,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,DE,CA,,1,,live,,Z,
1980,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,DE,CA,,,1,live,,,
1980,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,DE,DD,,1,,live,,Z,C
1980,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,DE,US,,1,,live,,,
1980,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,US,CA,,,2,live,,Z,
1980,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,US,CA,,1,,live,,,
1980,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,US,XX,,1,,feathers,,P,
1980,I,Caiman latirostris,Reptilia,Crocodylia,Alligatoridae,Caiman,HK,IT,PY,,8,leather products (small),,,
1980,I,Caiman latirostris,Reptilia,Crocodylia,Alligatoridae,Caiman,IT,CO,,1695,,live,,,
1980,I,Caiman latirostris,Reptilia,Crocodylia,Alligatoridae,Caiman,JP,IT,AR,,12,leather products (small),,,
1980,I,Caiman latirostris,Reptilia,Crocodylia,Alligatoridae,Caiman,US,BR,,1,,bodies,,P,
1980,I,Melanosuchus niger,Reptilia,Crocodylia,Alligatoridae,Melanosuchus,FR,EC,,,1,skulls,,S,
1980,I,Melanosuchus niger,Reptilia,Crocodylia,Alligatoridae,Melanosuchus,SG,IT,XX,,130,leather items,,,
1980,I,Melanosuchus niger,Reptilia,Crocodylia,Alligatoridae,Melanosuchus,US,HK,XX,2,,leather products (small),,T,
1980,I,Melanosuchus niger,Reptilia,Crocodylia,Alligatoridae,Melanosuchus,US,US,,4,,skin pieces,,P,
1980,I,Anas laysanensis,Aves,Anseriformes,Anatidae,Anas,CH,GB,,6,,live,,T,
1980,I,Anas laysanensis,Aves,Anseriformes,Anatidae,Anas,CH,GB,,,6,live,,,
1980,I,Anas laysanensis,Aves,Anseriformes,Anatidae,Anas,FR,GB,,,4,live,,,
1980,I,Branta sandvicensis,Aves,Anseriformes,Anatidae,Branta,CH,GB,,4,,live,,T,C
1980,I,Branta sandvicensis,Aves,Anseriformes,Anatidae,Branta,CH,GB,,,4,live,,,
1980,I,Branta sandvicensis,Aves,Anseriformes,Anatidae,Branta,CH,NL,,2,,live,,T,C
1980,I,Branta sandvicensis,Aves,Anseriformes,Anatidae,Branta,DD,DE,,,5,live,,Z,C
1980,I,Branta sandvicensis,Aves,Anseriformes,Anatidae,Branta,FR,GB,,,16,live,,,
1980,I,Branta sandvicensis,Aves,Anseriformes,Anatidae,Branta,IE,GB,,,3,live,,,
1980,I,Branta sandvicensis,Aves,Anseriformes,Anatidae,Branta,NL,GB,,,30,live,,,
1980,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,CU,NI,,,1,live,,S,
1980,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,US,CO,,1,,live,,P,
