Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
1984,I,Aquila heliaca,Aves,Falconiformes,Accipitridae,Aquila,CA,DE,XX,,2,live,,T,
1984,I,Aquila heliaca,Aves,Falconiformes,Accipitridae,Aquila,CA,DE,,2,,live,,,
1984,I,Aquila heliaca,Aves,Falconiformes,Accipitridae,Aquila,SU,JP,XX,,2,bodies,,,
1984,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,DD,SU,,,1,live,,Z,C
1984,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,DD,SU,,1,,live,,Z,
1984,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,DK,NO,,2,,eggs,,,I
1984,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,GB,NO,,10,10,live,,N,
1984,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,SE,NO,,,1,bodies,,S,
1984,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,SE,SU,,,1,live,,Z,C
1984,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,SE,SU,,1,,live,,,
1984,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,ZC,DE,,,1,live,,T,C
1984,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,DE,DD,,1,,live,,T,C
1984,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,DE,DD,,1,,live,,Z,C
1984,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,DE,DD,,,2,live,,,C
1984,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,NL,CA,,,2,live,,Z,
