Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
1986,I,Aquila heliaca,Aves,Falconiformes,Accipitridae,Aquila,US,IL,,1,,specimens,,,
1986,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,AT,DK,AT,2,,bodies,,S,
1986,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,AT,DK,AT,,2,bodies,,T,
1986,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,CN,JP,CN,,2,bodies,,E,
1986,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,DK,AT,XX,2,,bodies,,T,
1986,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,JP,CN,,,2,bodies,,,
1986,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,SE,DK,SE,,1,meat,,S,
1986,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,SE,DK,,,1,meat,,S,
1986,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,CA,US,,16,,live,,N,
1986,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,CA,US,,2,,live,,P,
1986,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,JP,CA,,2,,live,,S,C
1986,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,JP,CA,,,2,live,,Z,
1986,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,JP,US,,,8,feathers,,T,
1986,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,NL,CA,XX,1,,live,,,C
1986,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,NL,CA,,,1,live,,Z,
1986,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,SG,DE,,,2,live,,Z,C
1986,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,US,AU,US,91,,feathers,,,
1986,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,US,CA,US,16,,live,,,
1986,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,US,CA,US,1,,specimens,,S,
1986,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,US,CA,,,1,bodies,,S,
1986,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,US,CA,,,57,live,,N,
1986,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,US,CA,,,2,live,,P,
1986,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,US,CA,,8,,live,,,
1986,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,GB,PA,,4,,eggs,,S,
1986,I,Alligator sinensis,Reptilia,Crocodylia,Alligatoridae,Alligator,JP,CN,,1,,bodies,,S,
1986,I,Alligator sinensis,Reptilia,Crocodylia,Alligatoridae,Alligator,JP,CN,,,1,bodies,,,
