Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
1978,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,DD,XX,,2,,live,,,
1978,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,GB,NO,,,8,live,,N,
1978,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,JP,HK,CN,,20,feathers,sets,,
1978,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,SE,DK,XX,,1,live,,B,
1978,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,ZC,DE,,,1,live,,,C
1978,I,Haliaeetus leucocephalus,Aves,Falconiformes,Accipitridae,Haliaeetus,BE,CA,,,1,live,,,
1978,I,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,DE,US,,7,,live,,,C
1978,I,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,FR,US,,,2,skins,,,
1978,I,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,GB,US,,273,,specimens,,M,
1978,I,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,GB,US,,,273,specimens,,,
1978,I,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,IN,US,,2,,live,,Z,
1978,I,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,IT,GB,XX,,2,live,,,
1978,I,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,JP,US,,,323,skins,,,
1978,I,Melanosuchus niger,Reptilia,Crocodylia,Alligatoridae,Melanosuchus,CA,US,,1,,leather products (small),,E,
1978,I,Melanosuchus niger,Reptilia,Crocodylia,Alligatoridae,Melanosuchus,CH,PE,,,1,live,,S,
1978,I,Melanosuchus niger,Reptilia,Crocodylia,Alligatoridae,Melanosuchus,CH,PE,,1,,live,,Z,
1978,I,Melanosuchus niger,Reptilia,Crocodylia,Alligatoridae,Melanosuchus,US,CA,,,1,leather products (small),,E,
1978,I,Anas laysanensis,Aves,Anseriformes,Anatidae,Anas,CH,NL,,6,,live,,T,C
1978,I,Anas laysanensis,Aves,Anseriformes,Anatidae,Anas,HK,GB,,1,,live,,Z,
1978,I,Anas laysanensis,Aves,Anseriformes,Anatidae,Anas,HK,GB,,,1,live,,,
1978,I,Anas laysanensis,Aves,Anseriformes,Anatidae,Anas,IE,GB,,,4,live,,,C
1978,I,Asarcornis scutulata,Aves,Anseriformes,Anatidae,Asarcornis,CA,GB,,2,,live,,B,
1978,I,Asarcornis scutulata,Aves,Anseriformes,Anatidae,Asarcornis,CA,GB,,,2,live,,,C
1978,I,Asarcornis scutulata,Aves,Anseriformes,Anatidae,Asarcornis,DD,GB,,,2,live,,,C
1978,I,Asarcornis scutulata,Aves,Anseriformes,Anatidae,Asarcornis,GB,CA,,,2,live,,B,
1978,I,Asarcornis scutulata,Aves,Anseriformes,Anatidae,Asarcornis,US,GB,,,5,live,,,C
1978,I,Branta sandvicensis,Aves,Anseriformes,Anatidae,Branta,CA,US,,7,,live,,Z,
1978,I,Branta sandvicensis,Aves,Anseriformes,Anatidae,Branta,CA,US,,,7,live,,,
1978,I,Branta sandvicensis,Aves,Anseriformes,Anatidae,Branta,CH,DE,,2,,live,,T,C
1978,I,Branta sandvicensis,Aves,Anseriformes,Anatidae,Branta,CH,GB,,4,,live,,P,C
1978,I,Branta sandvicensis,Aves,Anseriformes,Anatidae,Branta,DD,XX,,5,,live,,,
1978,I,Branta sandvicensis,Aves,Anseriformes,Anatidae,Branta,DO,US,,,4,live,,,
1978,I,Branta sandvicensis,Aves,Anseriformes,Anatidae,Branta,FR,GB,,,1,live,,,C
1978,I,Antilocapra americana,Mammalia,Artiodactyla,Antilocapridae,Antilocapra,CA,US,,6,,live,,Z,
1978,I,Ateles geoffroyi,Mammalia,Primates,Atelidae,Ateles,NZ,AU,,,1,live,,,
1978,I,Balaena spp.,Mammalia,Cetacea,Balaenidae,Balaena,AU,CA,,,9,bone carvings,,,
1978,I,Balaena spp.,Mammalia,Cetacea,Balaenidae,Balaena,CH,CA,,,2,bone carvings,,,
1978,I,Balaena spp.,Mammalia,Cetacea,Balaenidae,Balaena,DE,CA,,,53,bone carvings,,,
1978,I,Balaena spp.,Mammalia,Cetacea,Balaenidae,Balaena,DE,CA,,,20,ivory carvings,,,
1978,I,Balaena spp.,Mammalia,Cetacea,Balaenidae,Balaena,NL,CA,,,9,bone carvings,,,
1978,I,Sanzinia madagascariensis,Reptilia,Serpentes,Boidae,Sanzinia,AT,CH,,,2,live,,,C
1978,I,Sanzinia madagascariensis,Reptilia,Serpentes,Boidae,Sanzinia,DE,AT,,7,,live,,,C
1978,I,Sanzinia madagascariensis,Reptilia,Serpentes,Boidae,Sanzinia,DE,CH,,,2,live,,,C
1978,I,Sanzinia madagascariensis,Reptilia,Serpentes,Boidae,Sanzinia,US,CH,,,3,live,,,C
1978,I,Sanzinia madagascariensis,Reptilia,Serpentes,Boidae,Sanzinia,US,DE,AT,,4,live,,,C
1978,I,Sanzinia madagascariensis,Reptilia,Serpentes,Boidae,Sanzinia,US,DE,,,7,live,,,C
1978,I,Casarea dussumieri,Reptilia,Serpentes,Bolyeriidae,Casarea,GB,MU,,,3,live,,Z,
1978,I,Casarea dussumieri,Reptilia,Serpentes,Bolyeriidae,Casarea,GB,MU,,4,,live,,,
1978,I,Capricornis sumatraensis,Mammalia,Artiodactyla,Bovidae,Capricornis,DK,NP,,,1,skins,,,
1978,I,Capricornis sumatraensis,Mammalia,Artiodactyla,Bovidae,Capricornis,ES,NP,,,2,skins,,,
1978,I,Capricornis sumatraensis,Mammalia,Artiodactyla,Bovidae,Capricornis,ES,NP,,,2,trophies,,,
1978,I,Capricornis sumatraensis,Mammalia,Artiodactyla,Bovidae,Capricornis,US,NP,,,1,skins,,,
