pl_name,hostname,discoverymethod,disc_year,disc_facility,sy_dist,sy_vmag,st_spectype,st_teff,st_rad,st_mass,st_lum,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_eqt,pl_insol
"WASP-117 b","WASP-117","Transit",2014,"SuperWASP",157.96300000,10.1390000,"F9",6040.00,1.220000,1.290000,0.27413,10.02165000000,0.0945900000,11.88154000,95.34900000,1001.00,211.7917
"WASP-28 b","WASP-28","Transit",2014,"SuperWASP",348.49400000,12.2740000,"F8",6084.00,1.083000,0.993000,0.15000,3.40883495000,0.0442000000,13.66374747,282.54945382,1456.00,695.6500
"WASP-70 A b","WASP-70 A","Transit",2014,"SuperWASP",222.35500000,10.7860000,"G4",5763.00,1.215000,1.106000,0.16240,3.71302030000,0.0485300000,13.04700000,187.51200000,1387.00,649.1548
"WASP-98 b","WASP-98","Transit",2014,"SuperWASP",281.74200000,13.2520000,"G7",5473.00,0.741000,0.809000,-0.35780,2.96264036000,0.0376200000,12.82309600,293.03926000,1171.00,269.8828
"WTS-2 b","WTS-2","Transit",2014,"United Kingdom Infrared Telescope",1030.76834437,15.9540000,"K2 V",5000.00,0.752000,0.820000,-0.28812,1.01870680000,0.0185500000,15.27786700,355.96960000,2000.00,2544.6509
"Kepler-114 c","Kepler-114","Transit",2013,"Kepler",259.53300000,13.9610000,"M0 V",4660.00,0.540000,0.560000,-0.68530,8.04100000000,0.0648200000,1.60000000,2.80000000,507.00,51.6230
"Kepler-62 b","Kepler-62","Transit",2013,"Kepler",300.87400000,13.9650000,"K2 V",4925.00,0.640000,0.690000,-0.67800,5.71493200000,0.0553000000,1.31000000,9.00000000,750.00,80.3260
"Kepler-62 c","Kepler-62","Transit",2013,"Kepler",300.87400000,13.9650000,"K2 V",4925.00,0.640000,0.690000,-0.67800,12.44170000000,0.0929000000,0.54000000,4.00000000,578.00,28.4890
"Kepler-62 e","Kepler-62","Transit",2013,"Kepler",300.87400000,13.9650000,"K2 V",4925.00,0.640000,0.690000,-0.67800,122.38740000000,0.4270000000,1.61000000,36.00000000,270.00,1.3520
"Kepler-63 b","Kepler-63","Transit",2013,"Kepler",194.03300000,12.0200000,"G5",5576.00,0.901000,0.984000,-0.15700,9.43415050000,0.0800000000,6.11000000,120.00000000,791.00,100.3710
"Kepler-69 b","Kepler-69","Transit",2013,"Kepler",730.62500000,13.8660000,"G4 V",5638.00,0.930000,0.810000,-0.09700,13.72234100000,0.0940000000,2.24000000,5.65000000,779.00,123.5170
"Kepler-74 b","Kepler-74","Transit",2013,"Kepler",1177.55000000,14.4870000,"F8 V",6000.00,1.120000,1.180000,0.33210,7.34071100000,0.0781000000,10.76000000,200.22000000,1078.00,337.6820
"Kepler-75 b","Kepler-75","Transit",2013,"Kepler",835.35600000,15.4140000,"K0 V",5200.00,0.890000,0.910000,-0.21487,8.88491160000,0.0818000000,11.77000000,3209.90000000,767.00,106.4840
"Kepler-77 b","Kepler-77","Transit",2013,"Kepler",639.41100000,14.1520000,"G5 V",5520.00,0.990000,0.950000,-0.04600,3.57878087000,0.0450100000,10.76100000,136.66100000,1440.00,432.8710
"Kepler-91 b","Kepler-91","Transit",2013,"Kepler",1294.69000000,12.7120000,"K3",4550.00,6.300000,1.310000,1.22500,6.24658000000,0.0731000000,15.32270300,257.44230000,2040.00,3273.3240
"WASP-75 b","WASP-75","Transit",2013,"SuperWASP",294.00100000,11.5910000,"F9",6100.00,1.260000,1.140000,0.30426,2.48419300000,0.0375000000,14.23500000,340.06000000,1710.00,1657.0000
"GJ 3470 b","GJ 3470","Radial Velocity",2012,"La Silla Observatory",29.42140000,12.3320000,"M1.5",3600.00,0.547000,0.539000,-1.53760,3.33664960000,0.0355000000,4.57000000,13.90000000,593.50,29.6584
"KELT-2 A b","KELT-2 A","Transit",2012,"KELT",134.05800000,8.6800000,"F8",6327.00,1.930000,1.540000,0.68890,4.11379000000,0.0549700000,15.13215000,540.31100000,2080.00,3108.4500
"Kepler-32 d","Kepler-32","Transit",2012,"Kepler",323.84700000,16.3600000,"M1 V",3900.00,0.530000,0.580000,-1.29243,22.78020000000,0.1300000000,2.70000000,39.90890000,328.00,3.6310
"Kepler-32 f","Kepler-32","Transit",2012,"Kepler",323.84700000,16.3600000,"M1 V",3900.00,0.530000,0.580000,-1.29243,0.74296000000,0.0130000000,0.82000000,969.22800000,1026.00,349.6450
"Kepler-52 b","Kepler-52","Transit",2012,"Kepler",321.54200000,15.5130000,"M0 V",4075.00,0.520000,0.540000,-0.99568,7.87735650000,0.0637000000,2.10000000,135.00000000,553.00,22.7200
"Kepler-52 c","Kepler-52","Transit",2012,"Kepler",321.54200000,15.5130000,"M0 V",4075.00,0.520000,0.540000,-0.99568,16.38500210000,0.1037900000,1.84000000,45.40000000,433.00,8.5500
"Kepler-81 c","Kepler-81","Transit",2012,"Kepler",348.29100000,15.2580000,"M0 V",4385.00,0.590000,0.640000,-0.88941,12.04000000000,0.0834700000,2.37000000,4.30000000,502.00,15.6200
"WASP-52 b","WASP-52","Transit",2012,"SuperWASP",174.81800000,12.1920000,"K2 V",5000.00,0.790000,0.870000,-0.35366,1.74977980000,0.0272000000,14.24000000,146.20000000,1315.00,605.7625
"WASP-57 b","WASP-57","Transit",2012,"SuperWASP",398.27600000,12.9130000,"G6",5600.00,0.927000,0.886000,-0.00509,2.83891856000,0.0376900000,11.76945000,204.68252000,1338.00,702.3850
"WASP-59 b","WASP-59","Transit",2012,"SuperWASP",115.93600000,12.6590000,"K5 V",4650.00,0.613000,0.719000,-0.79407,7.91958500000,0.0697000000,8.68700000,274.27600000,670.00,38.0328
"CoRoT-18 b","CoRoT-18","Transit",2011,"CoRoT",764.88900000,14.8680000,"G9 V",5440.00,1.000000,0.950000,-0.17000,1.90006930000,0.0295000000,14.68000000,1102.82000000,1550.00,823.7009
"HAT-P-27 b","HAT-P-27","Transit",2011,"HATNet",199.17300000,12.0520000,"G8",5316.00,0.864673,0.916000,-0.26926,3.03957700000,0.0400000000,11.43000000,197.05000000,1091.99,336.0384
"HAT-P-33 b","HAT-P-33","Transit",2011,"HATNet",396.11000000,11.0320000,"F4",6446.00,1.790000,1.820000,0.61800,3.47447000000,0.0499500000,20.73665000,292.40360000,1782.00,1701.3800
"Kepler-17 b","Kepler-17","Transit",2011,"Kepler",720.75300000,14.3140000,"G2 V",5781.00,1.010340,1.040000,0.01164,1.48571080000,0.0259100000,14.68000000,778.65000000,1570.00,1481.7660
"Kepler-32 c","Kepler-32","Transit",2011,"Kepler",323.84700000,16.3600000,"M1 V",3900.00,0.530000,0.580000,-1.29243,8.75220000000,0.0900000000,2.00000000,158.90000000,451.00,10.6800
"Kepler-41 b","Kepler-41","Transit",2011,"Kepler",1093.08000000,14.5090000,"G2 V",5750.00,1.290000,1.150000,0.26161,1.85555820000,0.0310100000,14.46000000,177.98000000,1790.00,2036.7490
"Kepler-42 c","Kepler-42","Transit",2011,"Kepler",40.05950000,16.7000000,"M",3068.00,0.170000,0.130000,-2.62000,0.45328509000,0.0060000000,0.73000000,60.33700000,720.00,82.1250
"Kepler-44 b","Kepler-44","Transit",2011,"Kepler",1188.00000000,14.8030000,"G2 IV",5800.00,1.350000,1.120000,0.34743,3.24672930000,0.0446000000,12.22000000,317.82000000,1544.00,1109.2230
"Kepler-45 b","Kepler-45","Transit",2011,"Kepler",381.94900000,16.7440000,"M",3820.00,0.550000,0.590000,-1.27572,2.45523900000,0.0300000000,10.76000000,160.49700000,1000.00,68.3700
"CoRoT-11 b","CoRoT-11","Transit",2010,"CoRoT",655.03700000,12.8970000,"F6 V",6440.00,1.370000,1.270000,0.37753,2.99433000000,0.0436000000,16.03000000,740.51000000,1657.00,1890.6490
"CoRoT-13 b","CoRoT-13","Transit",2010,"CoRoT",1148.93000000,15.0050000,"G0 V",5945.00,1.010000,1.090000,0.07314,4.03519000000,0.0510000000,9.92000000,415.70400000,1700.00,546.5339
"HAT-P-18 b","HAT-P-18","Transit",2010,"HATNet",161.40000000,12.5970000,"K2",4803.00,0.749000,0.770000,-0.56900,5.50802300000,0.0559000000,11.15300000,62.61000000,852.00,82.2407
"HAT-P-19 b","HAT-P-19","Transit",2010,"HATNet",202.07800000,12.8260000,"K1",4962.00,0.773000,0.807000,-0.48545,4.00878322000,0.0459900000,11.29865255,88.03846874,981.20,154.0000
"HD 97658 b","HD 97658","Radial Velocity",2010,"W. M. Keck Observatory",21.56180000,7.7600000,"K1 V",5212.00,0.728000,0.850000,-0.45469,9.48971160000,0.0805000000,2.12000000,8.30000000,751.00,41.9240
"WASP-21 b","WASP-21","Transit",2010,"SuperWASP",258.42600000,11.5900000,"G3 V",5800.00,1.060000,1.010000,0.30426,4.32248200000,0.0520000000,11.99000000,95.34500000,1333.00,705.0438
"WASP-26 b","WASP-26","Transit",2010,"SuperWASP",252.75900000,11.2970000,"G0",6034.00,1.220000,0.860000,0.28725,2.75660000000,0.0400000000,13.56289000,270.15550000,1650.00,1225.5264
"WASP-33 b","WASP-33","Transit",2010,"SuperWASP",121.94400000,8.1400000,"A",7430.00,1.444000,1.495000,0.81944,1.21987000000,0.0239000000,17.85593700,665.21819000,2781.70,9392.0471
"XO-4 b","XO-4","Transit",2010,"Lowell Observatory",272.65500000,10.8140000,"F5 V",6397.00,1.450000,1.100000,0.53558,4.12508000000,0.0552400000,14.01125000,451.31860000,1630.00,1112.2700
"GJ 1214 b","GJ 1214","Transit",2009,"MEarth Project",14.64270000,15.1000000,"M4 V",3101.00,0.216200,0.182000,-2.40894,1.58040453100,0.0150500000,2.73300000,8.41000000,567.00,17.2000
"HAT-P-12 b","HAT-P-12","Transit",2009,"HATNet",142.75100000,12.6650000,"K4",4650.00,0.701000,0.733000,-0.67800,3.21305980000,0.0384000000,10.74900000,67.05900000,963.00,118.0750
"WASP-17 b","WASP-17","Transit",2009,"SuperWASP",405.90800000,11.5880000,"F4",6550.00,1.490000,2.280000,0.61272,3.73543000000,0.0515000000,20.96083000,247.90740000,1755.00,1292.1900
"WASP-18 b","WASP-18","Transit",2009,"SuperWASP",123.48300000,9.2800000,"F6 IV-V",6432.00,1.319000,1.294000,0.42813,0.94145223000,0.0202400000,13.89913607,3241.84975140,2429.00,5805.0000
"WASP-11 b","WASP-11","Transit",2008,"SuperWASP",124.73000000,11.5670000,"K3 V",4800.00,0.890000,1.420000,0.00000,3.72247000000,0.0435000000,12.44199000,251.08570000,992.00,184.9880
"XO-5 b","XO-5","Transit",2008,"XO",276.21100000,12.1980000,"G8 V",5430.00,1.130000,1.040000,-0.06000,4.18775580000,0.0515000000,12.78000000,378.20000000,1230.00,397.4799
"HAT-P-2 b","HAT-P-2","Transit",2007,"HATNet",127.77400000,8.7200000,"F8",6380.00,1.390000,1.330000,0.53000,5.63351580000,0.0681400000,10.65975900,2866.81223114,1540.00,588.5180
"WASP-1 b","WASP-1","Transit",2007,"SuperWASP",393.07200000,11.3080000,"F7 V",6110.00,1.470000,1.240000,0.44091,2.51994540000,0.0388900000,16.62300000,271.41500000,1812.00,2121.5175
"WASP-2 b","WASP-2","Transit",2007,"SuperWASP",153.24200000,11.7280000,"K1",5180.00,0.866000,0.895000,-0.31336,2.15217500000,0.0314400000,12.11692900,295.89973000,1311.00,492.0000
"HD 149026 b","HD 149026","Radial Velocity",2005,"Subaru Telescope",75.86430000,8.1500000,"G0",6179.00,1.410000,1.420000,0.48000,2.87589000000,0.0436400000,8.29466000,120.77540000,1626.00,1095.9100
"HD 189733 b","HD 189733","Radial Velocity",2005,"Haute-Provence Observatory",19.76380000,7.6700000,"K2 V",5052.00,0.750000,0.790000,-0.46119,2.21857567000,0.0312600000,12.66617000,359.14790000,1209.00,356.0000
