pl_name,hostname,discoverymethod,disc_year,disc_facility,sy_dist,sy_vmag,st_spectype,st_teff,st_rad,st_mass,st_lum,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_eqt,pl_insol
"TOI-1685 b","TOI-1685","Transit",2021,"Transiting Exoplanet Survey Satellite (TESS)",37.61530000,13.3780000,"M3 V",3470.00,0.462000,0.466000,-1.51856,0.66913923000,0.0116400000,1.42100000,3.07000000,1000.00,213.0000
"TOI-1749 b","TOI-1749","Transit",2021,"Transiting Exoplanet Survey Satellite (TESS)",99.55610000,13.8600000,"M0 V",3985.00,0.550000,0.580000,-1.15649,2.38839000000,0.0291000000,1.39000000,57.00000000,831.00,83.8379
"TOI-178 g","TOI-178","Transit",2021,"Transiting Exoplanet Survey Satellite (TESS)",62.69900000,11.9550000,"K",4316.00,0.662000,0.647000,-0.86646,20.71663000000,0.1275000000,2.93900000,4.40000000,470.00,19.4978
"TOI-1789 b","TOI-1789","Transit",2021,"Transiting Exoplanet Survey Satellite (TESS)",229.06700000,9.7210000,"F",5991.00,2.168000,1.507000,0.73640,3.20866400000,0.0488200000,16.14093221,222.47988490,1927.00,2300.0000
"TOI-2202 b","TOI-2202","Transit",2021,"Transiting Exoplanet Survey Satellite (TESS)",235.93300000,13.0040000,"K8 V",5169.00,0.808000,0.841000,-0.40121,11.91260750000,0.0956400000,10.95117414,287.31687993,652.07,42.7254
"HAT-P-68 b","HAT-P-68","Transit",2020,"HATNet",202.15200000,13.8020000,"K",4508.00,0.670100,0.678500,-0.77911,2.29840551000,0.0299600000,12.01604800,230.10892000,1027.80,184.8000
"TOI-237 b","TOI-237","Transit",2020,"Transiting Exoplanet Survey Satellite (TESS)",38.07490000,16.3700000,"M4.5 V",3212.00,0.211000,0.179000,-2.38722,5.43609800000,0.0341000000,1.44000000,2.67000000,388.00,3.7000
"TOI-421 b","TOI-421","Transit",2020,"Transiting Exoplanet Survey Satellite (TESS)",74.79690000,9.9310000,"G9 V",5291.00,0.866000,0.833000,-0.26777,5.19757600000,0.0554000000,2.64000000,6.70000000,922.00,154.5700
"TOI-561 e","TOI-561","Transit",2020,"Transiting Exoplanet Survey Satellite (TESS)",85.79900000,10.2520000,"G9 V",5342.00,0.843000,0.806000,-0.28233,77.14400000000,0.3300000000,2.51700000,12.40000000,416.00,4.8900
"Wendelstein-2 b","Wendelstein-2","Transit",2020,"Haleakala Observatory",565.54100000,16.1860000,"K6 V",4591.00,0.660000,0.730000,-0.83411,1.75222390000,0.0234000000,12.99347280,232.33373000,2470.00,282.3101
"GJ 357 c","GJ 357","Radial Velocity",2019,"Multiple Observatories",9.44181000,10.9100000,"M2.5 V",3505.00,0.337000,0.342000,-1.79833,9.12470000000,0.0610000000,1.66000000,3.40000000,401.20,4.4500
"HD 136352 d","HD 136352","Radial Velocity",2019,"La Silla Observatory",14.68200000,5.6500000,"G4 V",5664.00,1.058000,0.870000,0.01620,107.24500000000,0.4250000000,2.56200000,8.82000000,431.00,5.7400
"HR 858 b","HR 858","Transit",2019,"Transiting Exoplanet Survey Satellite (TESS)",31.96400000,6.3800000,"F6 V",6354.00,1.258000,1.204000,0.36361,3.58528700000,0.0488800000,2.00400000,3.55000000,1552.00,989.7000
"LHS 3844 b","LHS 3844","Transit",2019,"Transiting Exoplanet Survey Satellite (TESS)",14.88460000,15.2400000,"M5",3036.00,0.189000,0.151000,-2.56543,0.46292913000,0.0062200000,1.30300000,2.25000000,805.00,70.1000
"LTT 1445 A b","LTT 1445 A","Transit",2019,"Transiting Exoplanet Survey Satellite (TESS)",6.86929000,10.5900000,"M3.0",3562.00,0.271000,0.257000,-2.04591,5.35876350000,0.0381000000,1.34000000,2.73000000,431.00,5.7000
"WASP-180 A b","WASP-180 A","Transit",2019,"SuperWASP",253.98500000,10.6550000,"F7 V",6600.00,1.190000,1.300000,0.31533,3.40926400000,0.0480000000,13.89916000,286.04700000,1540.00,918.3877
"WASP-185 b","WASP-185","Transit",2019,"WASP-South",279.35000000,11.1010000,"G0 V",5900.00,1.500000,1.120000,0.41219,9.38755000000,0.0904000000,14.01125000,311.47340000,1160.00,662.3252
"K2-155 c","K2-155","Transit",2018,"K2",72.79980000,12.7730000,"K7",4258.00,0.580000,0.650000,-1.22915,13.85000000000,0.0946000000,2.60000000,7.27000000,583.00,7.0000
"K2-237 b","K2-237","Transit",2018,"K2",314.99500000,11.6020000,"F9 V",6180.00,1.236000,1.256000,0.30320,2.18053332000,0.0355200000,16.06246934,434.15360396,1759.00,1860.0000
"K2-265 b","K2-265","Transit",2018,"K2",138.67100000,11.1870000,"G8 V",5420.00,0.920000,0.901000,-0.18243,2.36902000000,0.0335900000,1.70824866,7.34183620,1366.00,592.0000
"K2-285 c","K2-285","Transit",2018,"K2",154.96100000,12.0750000,"K2 V",4975.00,0.787000,0.830000,-0.42183,7.13804800000,0.0824000000,3.53000000,15.68000000,741.40,50.3500
"HD 106315 c","HD 106315","Transit",2017,"K2",109.35300000,8.9510000,"F5 V",6327.00,1.296000,1.091000,0.39454,21.05704000000,0.1536000000,4.35000000,15.20000000,886.00,97.0000
"HD 3167 d","HD 3167","Radial Velocity",2017,"Multiple Observatories",47.28990000,8.9700000,"K0 V",5261.00,0.880000,0.837000,-0.27003,8.41120000000,0.0763000000,1.92000000,4.33000000,859.50,88.9000
"K2-140 b","K2-140","Transit",2017,"K2",347.91700000,12.7270000,"G6 V",5585.00,1.060000,0.960000,-0.04915,6.56918800000,0.0680000000,13.56286665,295.58041851,962.00,204.0000
"KELT-11 b","KELT-11","Transit",2017,"KELT-South",99.15960000,8.0400000,"G8/K0 IV",5375.00,2.690000,1.440000,0.74429,4.73620865000,0.0623000000,15.13212395,65.15482343,1712.00,1433.0000
"Qatar-5 b","Qatar-5","Transit",2017,"Qatar",367.65800000,12.6140000,"G2 V",5747.00,1.076000,1.128000,0.05614,2.87923190000,0.0412700000,12.40836300,1373.02560000,1415.00,669.0000
"WASP-107 b","WASP-107","Transit",2017,"SuperWASP-South",64.74140000,11.5920000,"K6",4425.00,0.657000,0.683000,-0.87943,5.72148760000,0.0550000000,10.53646000,30.51152707,736.00,51.0000
"GJ 536 b","GJ 536","Radial Velocity",2016,"La Silla Observatory",10.40920000,9.7100000,"M1 V",3641.00,0.529000,0.528000,-1.35291,8.70874000000,0.0668000000,2.41000000,6.37000000,451.00,9.9000
"HAT-P-66 b","HAT-P-66","Transit",2016,"HATNet",935.45600000,13.0140000,"G0",6002.00,1.881000,1.255000,0.61490,2.97208600000,0.0436300000,17.82231000,248.86089000,1896.00,1939.5100
"HATS-16 b","HATS-16","Transit",2016,"HATSouth",757.04400000,13.9570000,"G3 V",5738.00,1.238000,0.970000,0.17319,2.68650200000,0.0374400000,14.57170000,1039.30410000,1592.00,994.8095
"HD 3167 b","HD 3167","Transit",2016,"K2",47.28990000,8.9700000,"K0 V",5261.00,0.880000,0.837000,-0.27003,0.95964100000,0.0179600000,1.67000000,4.97000000,1774.00,1650.0000
"HD 3167 c","HD 3167","Transit",2016,"K2",47.28990000,8.9700000,"K0 V",5261.00,0.880000,0.837000,-0.27003,29.84540000000,0.1776000000,3.00000000,11.13000000,564.00,16.9000
"K2-19 d","K2-19","Transit",2016,"K2",289.82700000,13.0240000,"G9",5350.00,0.824000,0.892000,-0.29196,2.50827000000,0.0347800000,1.04400000,6.20000000,1258.00,404.0000
"K2-26 b","K2-26","Transit",2016,"K2",99.05040000,14.5280000,"M1.0 V",3785.00,0.520000,0.560000,-1.30980,14.56650000000,0.0962000000,2.67000000,7.61000000,430.00,5.8000
